지역,년,월,미세먼지2.5 수치,미세먼지10 수치
전국,2018,11,32.0,56.0
서울,2018,11,28.0,52.0
부산,2018,11,26.0,47.0
대구,2018,11,31.0,57.0
인천,2018,11,29.0,55.0
광주,2018,11,36.0,59.0
대전,2018,11,34.0,63.0
울산,2018,11,29.0,47.0
세종,2018,11,29.0,58.0
경기,2018,11,36.0,62.0
강원,2018,11,26.0,46.0
충북,2018,11,41.0,65.0
충남,2018,11,35.0,60.0
전북,2018,11,39.0,63.0
전남,2018,11,27.0,45.0
경북,2018,11,33.0,60.0
경남,2018,11,25.0,52.0
제주,2018,11,23.0,39.0
전국,2018,12,25.0,45.0
서울,2018,12,24.0,43.0
부산,2018,12,23.0,40.0
대구,2018,12,26.0,47.0
인천,2018,12,24.0,45.0
광주,2018,12,26.0,43.0
대전,2018,12,27.0,51.0
울산,2018,12,19.0,35.0
세종,2018,12,31.0,55.0
경기,2018,12,28.0,50.0
강원,2018,12,23.0,41.0
충북,2018,12,33.0,53.0
충남,2018,12,25.0,45.0
전북,2018,12,29.0,47.0
전남,2018,12,21.0,37.0
경북,2018,12,26.0,49.0
경남,2018,12,20.0,43.0
제주,2018,12,16.0,30.0
전국,2019,1,35.0,60.0
서울,2019,1,38.0,66.0
부산,2019,1,29.0,48.0
대구,2019,1,33.0,57.0
인천,2019,1,33.0,62.0
광주,2019,1,33.0,53.0
대전,2019,1,34.0,66.0
울산,2019,1,26.0,45.0
세종,2019,1,41.0,70.0
경기,2019,1,41.0,72.0
강원,2019,1,33.0,59.0
충북,2019,1,45.0,70.0
충남,2019,1,37.0,62.0
전북,2019,1,40.0,61.0
전남,2019,1,25.0,42.0
경북,2019,1,33.0,62.0
경남,2019,1,24.0,49.0
제주,2019,1,22.0,35.0
전국,2019,2,34.0,56.0
서울,2019,2,35.0,57.0
부산,2019,2,28.0,48.0
대구,2019,2,33.0,54.0
인천,2019,2,31.0,55.0
광주,2019,2,34.0,57.0
대전,2019,2,36.0,62.0
울산,2019,2,26.0,46.0
세종,2019,2,41.0,64.0
경기,2019,2,38.0,61.0
강원,2019,2,31.0,51.0
충북,2019,2,45.0,63.0
충남,2019,2,35.0,58.0
전북,2019,2,40.0,62.0
전남,2019,2,29.0,47.0
경북,2019,2,32.0,57.0
경남,2019,2,25.0,51.0
제주,2019,2,23.0,42.0
전국,2019,3,39.0,62.0
서울,2019,3,45.0,69.0
부산,2019,3,30.0,51.0
대구,2019,3,33.0,54.0
인천,2019,3,41.0,67.0
광주,2019,3,39.0,63.0
대전,2019,3,39.0,68.0
울산,2019,3,29.0,49.0
세종,2019,3,47.0,71.0
경기,2019,3,47.0,72.0
강원,2019,3,38.0,59.0
충북,2019,3,47.0,67.0
충남,2019,3,43.0,67.0
전북,2019,3,44.0,68.0
전남,2019,3,29.0,48.0
경북,2019,3,32.0,60.0
경남,2019,3,26.0,51.0
제주,2019,3,29.0,50.0
전국,2019,4,20.0,42.0
서울,2019,4,21.0,41.0
부산,2019,4,20.0,40.0
대구,2019,4,19.0,40.0
인천,2019,4,20.0,43.0
광주,2019,4,20.0,43.0
대전,2019,4,16.0,40.0
울산,2019,4,19.0,40.0
세종,2019,4,19.0,40.0
경기,2019,4,21.0,45.0
강원,2019,4,18.0,39.0
충북,2019,4,23.0,43.0
충남,2019,4,22.0,43.0
전북,2019,4,23.0,44.0
전남,2019,4,17.0,33.0
경북,2019,4,16.0,43.0
경남,2019,4,17.0,40.0
제주,2019,4,19.0,38.0
전국,2019,5,25.0,50.0
서울,2019,5,29.0,52.0
부산,2019,5,25.0,47.0
대구,2019,5,23.0,46.0
인천,2019,5,26.0,51.0
광주,2019,5,22.0,50.0
대전,2019,5,22.0,46.0
울산,2019,5,26.0,49.0
세종,2019,5,25.0,50.0
경기,2019,5,28.0,56.0
강원,2019,5,23.0,46.0
충북,2019,5,27.0,50.0
충남,2019,5,28.0,52.0
전북,2019,5,25.0,50.0
전남,2019,5,21.0,41.0
경북,2019,5,20.0,47.0
경남,2019,5,20.0,47.0
제주,2019,5,19.0,43.0
전국,2019,6,20.0,33.0
서울,2019,6,20.0,29.0
부산,2019,6,21.0,32.0
대구,2019,6,20.0,32.0
인천,2019,6,17.0,29.0
광주,2019,6,25.0,40.0
대전,2019,6,18.0,30.0
울산,2019,6,22.0,34.0
세종,2019,6,20.0,34.0
경기,2019,6,19.0,32.0
강원,2019,6,17.0,29.0
충북,2019,6,25.0,36.0
충남,2019,6,22.0,34.0
전북,2019,6,24.0,38.0
전남,2019,6,20.0,31.0
경북,2019,6,17.0,33.0
경남,2019,6,20.0,36.0
제주,2019,6,19.0,30.0
전국,2019,7,17.0,27.0
서울,2019,7,19.0,26.0
부산,2019,7,18.0,26.0
대구,2019,7,16.0,26.0
인천,2019,7,19.0,31.0
광주,2019,7,17.0,29.0
대전,2019,7,14.0,23.0
울산,2019,7,19.0,29.0
세종,2019,7,14.0,23.0
경기,2019,7,18.0,30.0
강원,2019,7,15.0,26.0
충북,2019,7,16.0,24.0
충남,2019,7,17.0,26.0
전북,2019,7,16.0,26.0
전남,2019,7,13.0,23.0
경북,2019,7,15.0,28.0
경남,2019,7,15.0,29.0
제주,2019,7,16.0,26.0
전국,2019,8,17.0,28.0
서울,2019,8,16.0,25.0
부산,2019,8,19.0,30.0
대구,2019,8,16.0,26.0
인천,2019,8,18.0,30.0
광주,2019,8,17.0,31.0
대전,2019,8,15.0,25.0
울산,2019,8,18.0,30.0
세종,2019,8,16.0,27.0
경기,2019,8,16.0,29.0
강원,2019,8,14.0,26.0
충북,2019,8,17.0,26.0
충남,2019,8,17.0,29.0
전북,2019,8,16.0,29.0
전남,2019,8,16.0,28.0
경북,2019,8,15.0,28.0
경남,2019,8,16.0,32.0
제주,2019,8,18.0,30.0
전국,2019,9,13.0,25.0
서울,2019,9,12.0,21.0
부산,2019,9,13.0,24.0
대구,2019,9,13.0,23.0
인천,2019,9,14.0,28.0
광주,2019,9,15.0,27.0
대전,2019,9,12.0,22.0
울산,2019,9,13.0,25.0
세종,2019,9,12.0,23.0
경기,2019,9,13.0,26.0
강원,2019,9,10.0,21.0
충북,2019,9,14.0,23.0
충남,2019,9,14.0,27.0
전북,2019,9,15.0,26.0
전남,2019,9,12.0,22.0
경북,2019,9,12.0,25.0
경남,2019,9,12.0,27.0
제주,2019,9,12.0,25.0
전국,2019,10,15.0,32.0
서울,2019,10,15.0,31.0
부산,2019,10,13.0,27.0
대구,2019,10,14.0,27.0
인천,2019,10,16.0,35.0
광주,2019,10,18.0,35.0
대전,2019,10,15.0,29.0
울산,2019,10,11.0,27.0
세종,2019,10,17.0,32.0
경기,2019,10,17.0,37.0
강원,2019,10,13.0,28.0
충북,2019,10,19.0,33.0
충남,2019,10,20.0,38.0
전북,2019,10,19.0,34.0
전남,2019,10,13.0,27.0
경북,2019,10,13.0,31.0
경남,2019,10,12.0,30.0
제주,2019,10,15.0,32.0
전국,2019,11,20.0,41.0
서울,2019,11,20.0,40.0
부산,2019,11,17.0,35.0
대구,2019,11,21.0,41.0
인천,2019,11,19.0,41.0
광주,2019,11,20.0,43.0
대전,2019,11,21.0,43.0
울산,2019,11,15.0,34.0
세종,2019,11,26.0,45.0
경기,2019,11,23.0,47.0
강원,2019,11,19.0,36.0
충북,2019,11,28.0,47.0
충남,2019,11,24.0,46.0
전북,2019,11,23.0,43.0
전남,2019,11,17.0,35.0
경북,2019,11,19.0,40.0
경남,2019,11,16.0,37.0
제주,2019,11,15.0,40.0
전국,2019,12,26.0,39.0
서울,2019,12,28.0,42.0
부산,2019,12,23.0,35.0
대구,2019,12,29.0,42.0
인천,2019,12,25.0,40.0
광주,2019,12,22.0,33.0
대전,2019,12,25.0,40.0
울산,2019,12,20.0,33.0
세종,2019,12,32.0,46.0
경기,2019,12,31.0,47.0
강원,2019,12,25.0,37.0
충북,2019,12,33.0,46.0
충남,2019,12,29.0,42.0
전북,2019,12,25.0,36.0
전남,2019,12,18.0,28.0
경북,2019,12,24.0,39.0
경남,2019,12,20.0,33.0
제주,2019,12,16.0,29.0
전국,2020,1,26.0,39.0
서울,2020,1,29.0,42.0
부산,2020,1,21.0,32.0
대구,2020,1,26.0,37.0
인천,2020,1,27.0,42.0
광주,2020,1,27.0,36.0
대전,2020,1,25.0,41.0
울산,2020,1,19.0,30.0
세종,2020,1,31.0,47.0
경기,2020,1,31.0,47.0
강원,2020,1,24.0,34.0
충북,2020,1,33.0,46.0
충남,2020,1,32.0,45.0
전북,2020,1,30.0,40.0
전남,2020,1,21.0,31.0
경북,2020,1,22.0,34.0
경남,2020,1,19.0,29.0
제주,2020,1,19.0,31.0
전국,2020,2,25.0,38.0
서울,2020,2,28.0,41.0
부산,2020,2,22.0,34.0
대구,2020,2,26.0,38.0
인천,2020,2,23.0,37.0
광주,2020,2,21.0,32.0
대전,2020,2,23.0,38.0
울산,2020,2,19.0,31.0
세종,2020,2,28.0,43.0
경기,2020,2,29.0,44.0
강원,2020,2,25.0,36.0
충북,2020,2,30.0,42.0
충남,2020,2,30.0,44.0
전북,2020,2,25.0,36.0
전남,2020,2,19.0,31.0
경북,2020,2,22.0,35.0
경남,2020,2,20.0,32.0
제주,2020,2,21.0,34.0
전국,2020,3,21.0,40.0
서울,2020,3,25.0,45.0
부산,2020,3,16.0,33.0
대구,2020,3,20.0,38.0
인천,2020,3,21.0,41.0
광주,2020,3,18.0,35.0
대전,2020,3,20.0,40.0
울산,2020,3,17.0,34.0
세종,2020,3,23.0,47.0
경기,2020,3,26.0,49.0
강원,2020,3,21.0,37.0
충북,2020,3,26.0,43.0
충남,2020,3,26.0,48.0
전북,2020,3,22.0,41.0
전남,2020,3,15.0,31.0
경북,2020,3,18.0,36.0
경남,2020,3,16.0,31.0
제주,2020,3,15.0,35.0
전국,2020,4,18.0,41.0
서울,2020,4,21.0,44.0
부산,2020,4,17.0,36.0
대구,2020,4,18.0,39.0
인천,2020,4,16.0,39.0
광주,2020,4,17.0,38.0
대전,2020,4,17.0,41.0
울산,2020,4,17.0,36.0
세종,2020,4,18.0,44.0
경기,2020,4,20.0,47.0
강원,2020,4,19.0,39.0
충북,2020,4,21.0,43.0
충남,2020,4,20.0,45.0
전북,2020,4,19.0,41.0
전남,2020,4,15.0,34.0
경북,2020,4,17.0,38.0
경남,2020,4,15.0,33.0
제주,2020,4,18.0,41.0
전국,2020,5,18.0,34.0
서울,2020,5,19.0,35.0
부산,2020,5,17.0,32.0
대구,2020,5,20.0,38.0
인천,2020,5,15.0,31.0
광주,2020,5,18.0,31.0
대전,2020,5,16.0,32.0
울산,2020,5,19.0,36.0
세종,2020,5,14.0,34.0
경기,2020,5,19.0,38.0
강원,2020,5,15.0,29.0
충북,2020,5,19.0,33.0
충남,2020,5,19.0,35.0
전북,2020,5,20.0,34.0
전남,2020,5,15.0,29.0
경북,2020,5,16.0,33.0
경남,2020,5,16.0,32.0
제주,2020,5,19.0,36.0
전국,2020,6,19.0,34.0
서울,2020,6,21.0,36.0
부산,2020,6,15.0,27.0
대구,2020,6,20.0,35.0
인천,2020,6,17.0,32.0
광주,2020,6,18.0,31.0
대전,2020,6,19.0,34.0
울산,2020,6,19.0,32.0
세종,2020,6,16.0,37.0
경기,2020,6,21.0,41.0
강원,2020,6,18.0,35.0
충북,2020,6,20.0,36.0
충남,2020,6,19.0,35.0
전북,2020,6,24.0,36.0
전남,2020,6,14.0,26.0
경북,2020,6,16.0,32.0
경남,2020,6,16.0,29.0
제주,2020,6,14.0,27.0
전국,2020,7,12.0,20.0
서울,2020,7,13.0,21.0
부산,2020,7,10.0,18.0
대구,2020,7,14.0,22.0
인천,2020,7,14.0,21.0
광주,2020,7,9.0,15.0
대전,2020,7,9.0,16.0
울산,2020,7,12.0,20.0
세종,2020,7,9.0,17.0
경기,2020,7,13.0,23.0
강원,2020,7,9.0,17.0
충북,2020,7,10.0,18.0
충남,2020,7,13.0,22.0
전북,2020,7,13.0,18.0
전남,2020,7,9.0,17.0
경북,2020,7,10.0,18.0
경남,2020,7,11.0,20.0
제주,2020,7,10.0,20.0
전국,2020,8,14.0,24.0
서울,2020,8,14.0,23.0
부산,2020,8,19.0,31.0
대구,2020,8,16.0,25.0
인천,2020,8,14.0,24.0
광주,2020,8,14.0,22.0
대전,2020,8,10.0,20.0
울산,2020,8,17.0,28.0
세종,2020,8,11.0,20.0
경기,2020,8,13.0,24.0
강원,2020,8,11.0,19.0
충북,2020,8,11.0,21.0
충남,2020,8,13.0,24.0
전북,2020,8,15.0,22.0
전남,2020,8,16.0,28.0
경북,2020,8,14.0,23.0
경남,2020,8,16.0,29.0
제주,2020,8,15.0,29.0
전국,2020,9,12.0,22.0
서울,2020,9,11.0,19.0
부산,2020,9,13.0,24.0
대구,2020,9,15.0,25.0
인천,2020,9,10.0,20.0
광주,2020,9,13.0,21.0
대전,2020,9,12.0,21.0
울산,2020,9,14.0,25.0
세종,2020,9,10.0,20.0
경기,2020,9,11.0,22.0
강원,2020,9,10.0,18.0
충북,2020,9,11.0,22.0
충남,2020,9,13.0,24.0
전북,2020,9,14.0,23.0
전남,2020,9,13.0,22.0
경북,2020,9,12.0,22.0
경남,2020,9,13.0,24.0
제주,2020,9,13.0,26.0
전국,2020,10,17.0,34.0
서울,2020,10,17.0,33.0
부산,2020,10,15.0,30.0
대구,2020,10,18.0,33.0
인천,2020,10,15.0,34.0
광주,2020,10,17.0,31.0
대전,2020,10,18.0,33.0
울산,2020,10,15.0,30.0
세종,2020,10,20.0,35.0
경기,2020,10,19.0,38.0
강원,2020,10,15.0,28.0
충북,2020,10,21.0,36.0
충남,2020,10,20.0,39.0
전북,2020,10,19.0,35.0
전남,2020,10,14.0,28.0
경북,2020,10,16.0,31.0
경남,2020,10,14.0,29.0
제주,2020,10,16.0,31.0
전국,2020,11,21.0,38.0
서울,2020,11,24.0,42.0
부산,2020,11,17.0,31.0
대구,2020,11,23.0,40.0
인천,2020,11,21.0,39.0
광주,2020,11,20.0,32.0
대전,2020,11,20.0,37.0
울산,2020,11,17.0,31.0
세종,2020,11,25.0,40.0
경기,2020,11,25.0,45.0
강원,2020,11,20.0,34.0
충북,2020,11,25.0,41.0
충남,2020,11,25.0,42.0
전북,2020,11,22.0,36.0
전남,2020,11,15.0,29.0
경북,2020,11,21.0,36.0
경남,2020,11,17.0,30.0
제주,2020,11,13.0,28.0
전국,2020,12,24.0,38.0
서울,2020,12,27.0,42.0
부산,2020,12,21.0,33.0
대구,2020,12,24.0,38.0
인천,2020,12,24.0,39.0
광주,2020,12,24.0,33.0
대전,2020,12,20.0,38.0
울산,2020,12,19.0,30.0
세종,2020,12,28.0,44.0
경기,2020,12,29.0,46.0
강원,2020,12,24.0,36.0
충북,2020,12,29.0,44.0
충남,2020,12,27.0,42.0
전북,2020,12,23.0,36.0
전남,2020,12,17.0,28.0
경북,2020,12,23.0,36.0
경남,2020,12,19.0,30.0
제주,2020,12,14.0,24.0
전국,2021,1,20.0,39.0
서울,2021,1,21.0,38.0
부산,2021,1,19.0,36.0
대구,2021,1,21.0,40.0
인천,2021,1,20.0,37.0
광주,2021,1,22.0,37.0
대전,2021,1,18.0,39.0
울산,2021,1,17.0,34.0
세종,2021,1,25.0,45.0
경기,2021,1,22.0,42.0
강원,2021,1,18.0,35.0
충북,2021,1,24.0,43.0
충남,2021,1,25.0,45.0
전북,2021,1,22.0,40.0
전남,2021,1,17.0,34.0
경북,2021,1,19.0,38.0
경남,2021,1,17.0,33.0
제주,2021,1,14.0,31.0
전국,2021,2,25.0,43.0
서울,2021,2,29.0,48.0
부산,2021,2,21.0,37.0
대구,2021,2,24.0,41.0
인천,2021,2,28.0,46.0
광주,2021,2,25.0,40.0
대전,2021,2,21.0,42.0
울산,2021,2,21.0,35.0
세종,2021,2,27.0,47.0
경기,2021,2,31.0,52.0
강원,2021,2,22.0,39.0
충북,2021,2,28.0,46.0
충남,2021,2,32.0,52.0
전북,2021,2,26.0,42.0
전남,2021,2,19.0,35.0
경북,2021,2,22.0,40.0
경남,2021,2,19.0,33.0
제주,2021,2,17.0,34.0
전국,2021,3,27.0,65.0
서울,2021,3,32.0,67.0
부산,2021,3,21.0,60.0
대구,2021,3,23.0,59.0
인천,2021,3,33.0,69.0
광주,2021,3,27.0,65.0
대전,2021,3,23.0,63.0
울산,2021,3,20.0,55.0
세종,2021,3,27.0,67.0
경기,2021,3,33.0,72.0
강원,2021,3,20.0,51.0
충북,2021,3,27.0,62.0
충남,2021,3,34.0,79.0
전북,2021,3,30.0,75.0
전남,2021,3,20.0,64.0
경북,2021,3,21.0,56.0
경남,2021,3,19.0,53.0
제주,2021,3,23.0,72.0
전국,2021,4,17.0,41.0
서울,2021,4,19.0,42.0
부산,2021,4,15.0,37.0
대구,2021,4,17.0,42.0
인천,2021,4,19.0,42.0
광주,2021,4,18.0,39.0
대전,2021,4,15.0,41.0
울산,2021,4,16.0,37.0
세종,2021,4,16.0,42.0
경기,2021,4,19.0,46.0
강원,2021,4,15.0,38.0
충북,2021,4,18.0,41.0
충남,2021,4,20.0,46.0
전북,2021,4,19.0,43.0
전남,2021,4,14.0,34.0
경북,2021,4,16.0,42.0
경남,2021,4,15.0,34.0
제주,2021,4,14.0,36.0
전국,2021,5,19.0,52.0
서울,2021,5,20.0,61.0
부산,2021,5,16.0,36.0
대구,2021,5,18.0,41.0
인천,2021,5,20.0,59.0
광주,2021,5,20.0,50.0
대전,2021,5,18.0,56.0
울산,2021,5,17.0,35.0
세종,2021,5,16.0,61.0
경기,2021,5,21.0,64.0
강원,2021,5,15.0,47.0
충북,2021,5,20.0,53.0
충남,2021,5,22.0,63.0
전북,2021,5,21.0,56.0
전남,2021,5,16.0,46.0
경북,2021,5,17.0,43.0
경남,2021,5,15.0,36.0
제주,2021,5,16.0,42.0
전국,2021,6,19.0,32.0
서울,2021,6,19.0,33.0
부산,2021,6,15.0,26.0
대구,2021,6,20.0,35.0
인천,2021,6,23.0,36.0
광주,2021,6,18.0,29.0
대전,2021,6,18.0,31.0
울산,2021,6,17.0,28.0
세종,2021,6,16.0,31.0
경기,2021,6,21.0,37.0
강원,2021,6,14.0,24.0
충북,2021,6,19.0,32.0
충남,2021,6,20.0,34.0
전북,2021,6,22.0,36.0
전남,2021,6,15.0,27.0
경북,2021,6,18.0,31.0
경남,2021,6,16.0,27.0
제주,2021,6,13.0,25.0
전국,2021,7,12.0,22.0
서울,2021,7,15.0,24.0
부산,2021,7,9.0,18.0
대구,2021,7,10.0,19.0
인천,2021,7,19.0,29.0
광주,2021,7,10.0,16.0
대전,2021,7,9.0,16.0
울산,2021,7,10.0,17.0
세종,2021,7,9.0,20.0
경기,2021,7,15.0,26.0
강원,2021,7,10.0,18.0
충북,2021,7,10.0,19.0
충남,2021,7,13.0,23.0
전북,2021,7,12.0,20.0
전남,2021,7,10.0,19.0
경북,2021,7,12.0,21.0
경남,2021,7,12.0,20.0
제주,2021,7,8.0,19.0
전국,2021,8,11.0,21.0
서울,2021,8,13.0,22.0
부산,2021,8,10.0,19.0
대구,2021,8,11.0,21.0
인천,2021,8,13.0,22.0
광주,2021,8,10.0,17.0
대전,2021,8,11.0,18.0
울산,2021,8,11.0,20.0
세종,2021,8,9.0,21.0
경기,2021,8,13.0,25.0
강원,2021,8,10.0,19.0
충북,2021,8,11.0,21.0
충남,2021,8,13.0,23.0
전북,2021,8,11.0,20.0
전남,2021,8,10.0,20.0
경북,2021,8,11.0,23.0
경남,2021,8,11.0,20.0
제주,2021,8,7.0,17.0
전국,2021,9,8.0,17.0
서울,2021,9,7.0,15.0
부산,2021,9,8.0,17.0
대구,2021,9,9.0,18.0
인천,2021,9,8.0,16.0
광주,2021,9,8.0,15.0
대전,2021,9,8.0,15.0
울산,2021,9,8.0,16.0
세종,2021,9,7.0,16.0
경기,2021,9,8.0,17.0
강원,2021,9,6.0,13.0
충북,2021,9,8.0,16.0
충남,2021,9,9.0,18.0
전북,2021,9,9.0,18.0
전남,2021,9,9.0,17.0
경북,2021,9,9.0,18.0
경남,2021,9,9.0,17.0
제주,2021,9,8.0,20.0
전국,2021,10,14.0,27.0
서울,2021,10,13.0,27.0
부산,2021,10,12.0,23.0
대구,2021,10,15.0,26.0
인천,2021,10,14.0,28.0
광주,2021,10,15.0,25.0
대전,2021,10,15.0,27.0
울산,2021,10,12.0,22.0
세종,2021,10,15.0,29.0
경기,2021,10,15.0,31.0
강원,2021,10,10.0,19.0
충북,2021,10,18.0,30.0
충남,2021,10,16.0,32.0
전북,2021,10,16.0,31.0
전남,2021,10,13.0,24.0
경북,2021,10,14.0,25.0
경남,2021,10,13.0,23.0
제주,2021,10,11.0,24.0
전국,2021,11,23.0,40.0
서울,2021,11,26.0,45.0
부산,2021,11,18.0,34.0
대구,2021,11,22.0,40.0
인천,2021,11,25.0,44.0
광주,2021,11,21.0,34.0
대전,2021,11,19.0,38.0
울산,2021,11,17.0,32.0
세종,2021,11,24.0,44.0
경기,2021,11,27.0,48.0
강원,2021,11,20.0,34.0
충북,2021,11,27.0,44.0
충남,2021,11,24.0,43.0
전북,2021,11,22.0,40.0
전남,2021,11,17.0,33.0
경북,2021,11,21.0,37.0
경남,2021,11,18.0,31.0
