지역,년,월,미세먼지2.5 수치,미세먼지10 수치
제주,2021,11,17.0,36.0
전국,2021,12,22.0,36.0
서울,2021,12,23.0,39.0
부산,2021,12,19.0,31.0
대구,2021,12,22.0,38.0
인천,2021,12,24.0,39.0
광주,2021,12,23.0,34.0
대전,2021,12,21.0,40.0
울산,2021,12,17.0,29.0
세종,2021,12,26.0,43.0
경기,2021,12,25.0,41.0
강원,2021,12,18.0,30.0
충북,2021,12,25.0,40.0
충남,2021,12,26.0,42.0
전북,2021,12,23.0,38.0
전남,2021,12,18.0,31.0
경북,2021,12,20.0,34.0
경남,2021,12,17.0,28.0
제주,2021,12,15.0,28.0
전국,2022,1,26.0,39.0
서울,2022,1,29.0,43.0
부산,2022,1,21.0,31.0
대구,2022,1,24.0,37.0
인천,2022,1,28.0,42.0
광주,2022,1,23.0,32.0
대전,2022,1,25.0,45.0
울산,2022,1,18.0,29.0
세종,2022,1,30.0,47.0
경기,2022,1,31.0,46.0
강원,2022,1,24.0,36.0
충북,2022,1,30.0,44.0
충남,2022,1,30.0,45.0
전북,2022,1,27.0,39.0
전남,2022,1,21.0,31.0
경북,2022,1,22.0,34.0
경남,2022,1,20.0,29.0
제주,2022,1,15.0,25.0
전국,2022,2,23.0,37.0
서울,2022,2,26.0,40.0
부산,2022,2,19.0,30.0
대구,2022,2,21.0,35.0
인천,2022,2,24.0,38.0
광주,2022,2,24.0,34.0
대전,2022,2,24.0,40.0
울산,2022,2,18.0,29.0
세종,2022,2,27.0,43.0
경기,2022,2,27.0,42.0
강원,2022,2,22.0,34.0
충북,2022,2,26.0,41.0
충남,2022,2,27.0,43.0
전북,2022,2,26.0,39.0
전남,2022,2,20.0,32.0
경북,2022,2,21.0,34.0
경남,2022,2,18.0,28.0
제주,2022,2,18.0,29.0
전국,2022,3,22.0,42.0
서울,2022,3,21.0,41.0
부산,2022,3,21.0,38.0
대구,2022,3,22.0,42.0
인천,2022,3,22.0,42.0
광주,2022,3,21.0,38.0
대전,2022,3,24.0,44.0
울산,2022,3,20.0,39.0
세종,2022,3,24.0,46.0
경기,2022,3,24.0,46.0
강원,2022,3,20.0,37.0
충북,2022,3,26.0,46.0
충남,2022,3,25.0,46.0
전북,2022,3,23.0,43.0
전남,2022,3,17.0,35.0
경북,2022,3,22.0,43.0
경남,2022,3,18.0,34.0
제주,2022,3,19.0,40.0
전국,2022,4,19.0,39.0
서울,2022,4,22.0,45.0
부산,2022,4,16.0,32.0
대구,2022,4,17.0,36.0
인천,2022,4,22.0,44.0
광주,2022,4,17.0,34.0
대전,2022,4,18.0,39.0
울산,2022,4,16.0,34.0
세종,2022,4,17.0,40.0
경기,2022,4,22.0,47.0
강원,2022,4,17.0,36.0
충북,2022,4,20.0,40.0
충남,2022,4,21.0,44.0
전북,2022,4,21.0,41.0
전남,2022,4,15.0,31.0
경북,2022,4,16.0,36.0
경남,2022,4,14.0,29.0
제주,2022,4,16.0,31.0
전국,2022,5,17.0,33.0
서울,2022,5,17.0,33.0
부산,2022,5,17.0,31.0
대구,2022,5,17.0,33.0
인천,2022,5,16.0,32.0
광주,2022,5,16.0,29.0
대전,2022,5,15.0,31.0
울산,2022,5,19.0,34.0
세종,2022,5,14.0,31.0
경기,2022,5,17.0,35.0
강원,2022,5,15.0,29.0
충북,2022,5,18.0,34.0
충남,2022,5,17.0,34.0
전북,2022,5,17.0,34.0
전남,2022,5,15.0,29.0
경북,2022,5,16.0,33.0
경남,2022,5,16.0,29.0
제주,2022,5,14.0,29.0
전국,2022,6,12.0,22.0
서울,2022,6,12.0,22.0
부산,2022,6,10.0,19.0
대구,2022,6,12.0,22.0
인천,2022,6,12.0,21.0
광주,2022,6,12.0,20.0
대전,2022,6,10.0,21.0
울산,2022,6,12.0,21.0
세종,2022,6,10.0,22.0
경기,2022,6,13.0,23.0
강원,2022,6,10.0,20.0
충북,2022,6,14.0,23.0
충남,2022,6,11.0,22.0
전북,2022,6,13.0,23.0
전남,2022,6,11.0,20.0
경북,2022,6,12.0,23.0
경남,2022,6,11.0,19.0
제주,2022,6,10.0,21.0
전국,2022,7,13.0,22.0
서울,2022,7,16.0,25.0
부산,2022,7,12.0,20.0
대구,2022,7,12.0,20.0
인천,2022,7,18.0,26.0
광주,2022,7,12.0,18.0
대전,2022,7,12.0,20.0
울산,2022,7,12.0,21.0
세종,2022,7,12.0,24.0
경기,2022,7,15.0,25.0
강원,2022,7,9.0,18.0
충북,2022,7,14.0,23.0
충남,2022,7,14.0,25.0
전북,2022,7,15.0,23.0
전남,2022,7,11.0,20.0
경북,2022,7,12.0,20.0
경남,2022,7,12.0,21.0
제주,2022,7,11.0,20.0
전국,2022,8,10.0,19.0
서울,2022,8,11.0,20.0
부산,2022,8,10.0,19.0
대구,2022,8,9.0,18.0
인천,2022,8,11.0,21.0
광주,2022,8,9.0,16.0
대전,2022,8,8.0,15.0
울산,2022,8,14.0,23.0
세종,2022,8,8.0,18.0
경기,2022,8,10.0,20.0
강원,2022,8,8.0,16.0
충북,2022,8,11.0,17.0
충남,2022,8,9.0,19.0
전북,2022,8,9.0,18.0
전남,2022,8,8.0,17.0
경북,2022,8,10.0,18.0
경남,2022,8,10.0,19.0
제주,2022,8,8.0,18.0
전국,2022,9,11.0,22.0
서울,2022,9,11.0,22.0
부산,2022,9,10.0,20.0
대구,2022,9,9.0,20.0
인천,2022,9,14.0,26.0
광주,2022,9,12.0,21.0
대전,2022,9,10.0,19.0
울산,2022,9,12.0,24.0
세종,2022,9,10.0,21.0
경기,2022,9,12.0,24.0
강원,2022,9,7.0,16.0
충북,2022,9,12.0,20.0
충남,2022,9,13.0,25.0
전북,2022,9,14.0,25.0
전남,2022,9,11.0,21.0
경북,2022,9,10.0,21.0
경남,2022,9,10.0,20.0
제주,2022,9,14.0,28.0
전국,2022,10,14.0,26.0
서울,2022,10,14.0,25.0
부산,2022,10,11.0,21.0
대구,2022,10,12.0,24.0
인천,2022,10,17.0,30.0
광주,2022,10,14.0,25.0
대전,2022,10,14.0,24.0
울산,2022,10,12.0,25.0
세종,2022,10,15.0,28.0
경기,2022,10,16.0,29.0
강원,2022,10,9.0,17.0
충북,2022,10,16.0,26.0
충남,2022,10,18.0,33.0
전북,2022,10,18.0,31.0
전남,2022,10,11.0,21.0
경북,2022,10,13.0,24.0
경남,2022,10,12.0,21.0
제주,2022,10,12.0,26.0
전국,2022,11,23.0,39.0
서울,2022,11,22.0,39.0
부산,2022,11,19.0,33.0
대구,2022,11,23.0,41.0
인천,2022,11,24.0,41.0
광주,2022,11,21.0,34.0
대전,2022,11,24.0,39.0
울산,2022,11,19.0,35.0
세종,2022,11,25.0,45.0
경기,2022,11,25.0,44.0
강원,2022,11,18.0,31.0
충북,2022,11,27.0,44.0
충남,2022,11,27.0,46.0
전북,2022,11,27.0,43.0
전남,2022,11,17.0,30.0
경북,2022,11,23.0,39.0
경남,2022,11,19.0,31.0
제주,2022,11,17.0,30.0
전국,2022,12,20.0,35.0
서울,2022,12,19.0,38.0
부산,2022,12,18.0,30.0
대구,2022,12,20.0,35.0
인천,2022,12,20.0,38.0
광주,2022,12,20.0,33.0
대전,2022,12,21.0,35.0
울산,2022,12,18.0,31.0
세종,2022,12,23.0,40.0
경기,2022,12,22.0,39.0
강원,2022,12,19.0,32.0
충북,2022,12,26.0,40.0
충남,2022,12,22.0,38.0
전북,2022,12,23.0,38.0
전남,2022,12,14.0,29.0
경북,2022,12,20.0,33.0
경남,2022,12,16.0,28.0
제주,2022,12,14.0,28.0
전국,2023,1,24.0,45.0
서울,2023,1,26.0,48.0
부산,2023,1,21.0,37.0
대구,2023,1,23.0,42.0
인천,2023,1,27.0,50.0
광주,2023,1,23.0,47.0
대전,2023,1,23.0,44.0
울산,2023,1,20.0,37.0
세종,2023,1,25.0,49.0
경기,2023,1,28.0,50.0
강원,2023,1,21.0,37.0
충북,2023,1,28.0,48.0
충남,2023,1,27.0,51.0
전북,2023,1,26.0,48.0
전남,2023,1,18.0,41.0
경북,2023,1,22.0,40.0
경남,2023,1,19.0,35.0
제주,2023,1,17.0,37.0
전국,2023,2,28.0,43.0
서울,2023,2,30.0,46.0
부산,2023,2,22.0,34.0
대구,2023,2,27.0,42.0
인천,2023,2,31.0,48.0
광주,2023,2,26.0,41.0
대전,2023,2,30.0,46.0
울산,2023,2,23.0,35.0
세종,2023,2,34.0,54.0
경기,2023,2,33.0,50.0
강원,2023,2,25.0,37.0
충북,2023,2,33.0,49.0
충남,2023,2,35.0,54.0
전북,2023,2,33.0,49.0
전남,2023,2,20.0,33.0
경북,2023,2,24.0,38.0
경남,2023,2,21.0,31.0
제주,2023,2,15.0,29.0
전국,2023,3,27.0,64.0
서울,2023,3,31.0,68.0
부산,2023,3,23.0,56.0
대구,2023,3,25.0,62.0
인천,2023,3,32.0,71.0
광주,2023,3,25.0,61.0
대전,2023,3,28.0,64.0
울산,2023,3,24.0,58.0
세종,2023,3,28.0,68.0
경기,2023,3,31.0,73.0
강원,2023,3,24.0,55.0
충북,2023,3,29.0,68.0
충남,2023,3,29.0,70.0
전북,2023,3,30.0,68.0
전남,2023,3,21.0,52.0
경북,2023,3,24.0,59.0
경남,2023,3,22.0,50.0
제주,2023,3,22.0,56.0
전국,2023,4,21.0,65.0
서울,2023,4,21.0,63.0
부산,2023,4,19.0,61.0
대구,2023,4,20.0,67.0
인천,2023,4,24.0,68.0
광주,2023,4,21.0,60.0
대전,2023,4,22.0,68.0
울산,2023,4,21.0,64.0
세종,2023,4,19.0,70.0
경기,2023,4,23.0,68.0
강원,2023,4,18.0,60.0
충북,2023,4,22.0,69.0
충남,2023,4,25.0,74.0
전북,2023,4,26.0,69.0
전남,2023,4,18.0,60.0
경북,2023,4,20.0,68.0
경남,2023,4,17.0,56.0
제주,2023,4,18.0,62.0
전국,2023,5,17.0,37.0
서울,2023,5,18.0,38.0
부산,2023,5,17.0,32.0
대구,2023,5,17.0,34.0
인천,2023,5,21.0,42.0
광주,2023,5,14.0,30.0
대전,2023,5,16.0,34.0
울산,2023,5,19.0,36.0
세종,2023,5,15.0,36.0
경기,2023,5,19.0,41.0
강원,2023,5,14.0,35.0
충북,2023,5,17.0,36.0
충남,2023,5,18.0,40.0
전북,2023,5,18.0,38.0
전남,2023,5,14.0,33.0
경북,2023,5,17.0,35.0
경남,2023,5,16.0,32.0
제주,2023,5,14.0,34.0
전국,2023,6,15.0,26.0
서울,2023,6,17.0,28.0
부산,2023,6,14.0,23.0
대구,2023,6,14.0,25.0
인천,2023,6,18.0,29.0
광주,2023,6,12.0,22.0
대전,2023,6,15.0,25.0
울산,2023,6,18.0,28.0
세종,2023,6,13.0,26.0
경기,2023,6,17.0,30.0
강원,2023,6,11.0,23.0
충북,2023,6,16.0,27.0
충남,2023,6,16.0,28.0
전북,2023,6,16.0,28.0
전남,2023,6,11.0,21.0
경북,2023,6,15.0,26.0
경남,2023,6,13.0,22.0
제주,2023,6,11.0,23.0
전국,2023,7,14.0,24.0
서울,2023,7,17.0,26.0
부산,2023,7,12.0,19.0
대구,2023,7,14.0,24.0
인천,2023,7,18.0,27.0
광주,2023,7,10.0,18.0
대전,2023,7,13.0,21.0
울산,2023,7,18.0,27.0
세종,2023,7,11.0,22.0
경기,2023,7,15.0,27.0
강원,2023,7,10.0,23.0
충북,2023,7,13.0,23.0
충남,2023,7,14.0,24.0
전북,2023,7,13.0,22.0
전남,2023,7,11.0,20.0
경북,2023,7,15.0,26.0
경남,2023,7,14.0,21.0
제주,2023,7,10.0,20.0
전국,2023,8,12.0,22.0
서울,2023,8,13.0,21.0
부산,2023,8,10.0,17.0
대구,2023,8,10.0,18.0
인천,2023,8,14.0,23.0
광주,2023,8,11.0,18.0
대전,2023,8,13.0,21.0
울산,2023,8,13.0,21.0
세종,2023,8,12.0,21.0
경기,2023,8,13.0,23.0
강원,2023,8,8.0,18.0
충북,2023,8,13.0,22.0
충남,2023,8,14.0,25.0
전북,2023,8,14.0,25.0
전남,2023,8,11.0,21.0
경북,2023,8,13.0,23.0
경남,2023,8,12.0,20.0
제주,2023,8,11.0,20.0
전국,2023,9,11.0,21.0
서울,2023,9,11.0,20.0
부산,2023,9,9.0,16.0
대구,2023,9,9.0,18.0
인천,2023,9,13.0,23.0
광주,2023,9,11.0,18.0
대전,2023,9,11.0,19.0
울산,2023,9,11.0,20.0
세종,2023,9,10.0,20.0
경기,2023,9,12.0,23.0
강원,2023,9,8.0,17.0
충북,2023,9,12.0,21.0
충남,2023,9,13.0,24.0
전북,2023,9,14.0,25.0
전남,2023,9,10.0,20.0
경북,2023,9,11.0,22.0
경남,2023,9,11.0,18.0
제주,2023,9,10.0,20.0
전국,2023,10,15.0,28.0
서울,2023,10,15.0,28.0
부산,2023,10,13.0,24.0
대구,2023,10,14.0,27.0
인천,2023,10,17.0,31.0
광주,2023,10,14.0,26.0
대전,2023,10,14.0,26.0
울산,2023,10,15.0,26.0
세종,2023,10,15.0,28.0
경기,2023,10,17.0,32.0
강원,2023,10,12.0,22.0
충북,2023,10,16.0,29.0
충남,2023,10,16.0,32.0
전북,2023,10,16.0,32.0
전남,2023,10,12.0,25.0
경북,2023,10,16.0,29.0
경남,2023,10,13.0,22.0
제주,2023,10,10.0,23.0
전국,2023,11,16.0,29.0
서울,2023,11,17.0,30.0
부산,2023,11,15.0,25.0
대구,2023,11,17.0,30.0
인천,2023,11,19.0,34.0
광주,2023,11,15.0,26.0
대전,2023,11,15.0,27.0
울산,2023,11,15.0,28.0
세종,2023,11,17.0,28.0
경기,2023,11,18.0,33.0
강원,2023,11,15.0,25.0
충북,2023,11,19.0,32.0
충남,2023,11,17.0,31.0
전북,2023,11,16.0,29.0
전남,2023,11,12.0,23.0
경북,2023,11,18.0,30.0
경남,2023,11,14.0,22.0
제주,2023,11,11.0,24.0
전국,2023,12,21.0,35.0
서울,2023,12,21.0,36.0
부산,2023,12,20.0,31.0
대구,2023,12,22.0,37.0
인천,2023,12,24.0,39.0
광주,2023,12,20.0,32.0
대전,2023,12,21.0,34.0
울산,2023,12,17.0,32.0
세종,2023,12,25.0,39.0
경기,2023,12,23.0,38.0
강원,2023,12,18.0,30.0
충북,2023,12,25.0,39.0
충남,2023,12,25.0,39.0
전북,2023,12,21.0,35.0
전남,2023,12,16.0,30.0
경북,2023,12,21.0,35.0
경남,2023,12,18.0,28.0
제주,2023,12,16.0,29.0
전국,2024,1,22.0,33.0
서울,2024,1,24.0,36.0
부산,2024,1,19.0,27.0
대구,2024,1,22.0,34.0
인천,2024,1,26.0,38.0
광주,2024,1,17.0,28.0
대전,2024,1,21.0,34.0
울산,2024,1,16.0,27.0
세종,2024,1,27.0,38.0
경기,2024,1,26.0,38.0
강원,2024,1,20.0,29.0
충북,2024,1,26.0,37.0
충남,2024,1,26.0,37.0
전북,2024,1,21.0,33.0
전남,2024,1,15.0,26.0
경북,2024,1,22.0,33.0
경남,2024,1,17.0,25.0
제주,2024,1,15.0,26.0
전국,2024,2,20.0,29.0
서울,2024,2,23.0,33.0
부산,2024,2,15.0,22.0
대구,2024,2,17.0,26.0
인천,2024,2,24.0,35.0
광주,2024,2,18.0,28.0
대전,2024,2,18.0,29.0
울산,2024,2,14.0,24.0
세종,2024,2,25.0,35.0
경기,2024,2,23.0,34.0
강원,2024,2,15.0,24.0
충북,2024,2,21.0,30.0
충남,2024,2,24.0,35.0
전북,2024,2,21.0,31.0
전남,2024,2,15.0,25.0
경북,2024,2,18.0,28.0
경남,2024,2,14.0,21.0
제주,2024,2,13.0,23.0
전국,2024,3,20.0,45.0
서울,2024,3,21.0,49.0
부산,2024,3,19.0,38.0
대구,2024,3,18.0,41.0
인천,2024,3,23.0,51.0
광주,2024,3,18.0,39.0
대전,2024,3,19.0,42.0
울산,2024,3,17.0,40.0
세종,2024,3,22.0,44.0
경기,2024,3,23.0,52.0
강원,2024,3,19.0,42.0
충북,2024,3,22.0,47.0
충남,2024,3,23.0,48.0
전북,2024,3,21.0,44.0
전남,2024,3,17.0,38.0
경북,2024,3,21.0,45.0
경남,2024,3,17.0,35.0
제주,2024,3,15.0,35.0
전국,2024,4,21.0,50.0
서울,2024,4,22.0,50.0
부산,2024,4,21.0,54.0
대구,2024,4,20.0,53.0
인천,2024,4,23.0,51.0
광주,2024,4,16.0,40.0
대전,2024,4,17.0,45.0
울산,2024,4,24.0,61.0
세종,2024,4,19.0,47.0
경기,2024,4,23.0,53.0
강원,2024,4,19.0,51.0
충북,2024,4,21.0,49.0
충남,2024,4,22.0,50.0
전북,2024,4,20.0,46.0
전남,2024,4,16.0,41.0
경북,2024,4,22.0,57.0
경남,2024,4,19.0,46.0
제주,2024,4,17.0,42.0
전국,2024,5,15.0,30.0
서울,2024,5,15.0,30.0
부산,2024,5,14.0,27.0
대구,2024,5,13.0,29.0
인천,2024,5,16.0,31.0
광주,2024,5,13.0,28.0
대전,2024,5,14.0,28.0
울산,2024,5,15.0,31.0
세종,2024,5,14.0,29.0
경기,2024,5,16.0,31.0
강원,2024,5,11.0,26.0
충북,2024,5,15.0,29.0
충남,2024,5,16.0,31.0
전북,2024,5,15.0,32.0
전남,2024,5,12.0,28.0
경북,2024,5,15.0,31.0
경남,2024,5,13.0,25.0
제주,2024,5,14.0,29.0
전국,2024,6,16.0,29.0
서울,2024,6,18.0,31.0
부산,2024,6,16.0,26.0
대구,2024,6,15.0,27.0
인천,2024,6,18.0,30.0
광주,2024,6,12.0,23.0
대전,2024,6,15.0,27.0
울산,2024,6,20.0,34.0
세종,2024,6,15.0,28.0
경기,2024,6,17.0,32.0
강원,2024,6,14.0,27.0
충북,2024,6,16.0,28.0
충남,2024,6,16.0,29.0
전북,2024,6,16.0,31.0
전남,2024,6,12.0,23.0
경북,2024,6,17.0,30.0
경남,2024,6,15.0,24.0
제주,2024,6,12.0,23.0
전국,2024,7,10.0,19.0
서울,2024,7,12.0,20.0
부산,2024,7,8.0,15.0
대구,2024,7,8.0,16.0
인천,2024,7,13.0,23.0
광주,2024,7,6.0,14.0
대전,2024,7,8.0,15.0
울산,2024,7,12.0,22.0
세종,2024,7,7.0,17.0
경기,2024,7,11.0,21.0
강원,2024,7,9.0,18.0
충북,2024,7,9.0,17.0
충남,2024,7,9.0,18.0
전북,2024,7,9.0,18.0
전남,2024,7,7.0,17.0
경북,2024,7,11.0,21.0
경남,2024,7,8.0,16.0
제주,2024,7,7.0,19.0
전국,2024,8,13.0,22.0
서울,2024,8,16.0,24.0
부산,2024,8,11.0,19.0
대구,2024,8,10.0,17.0
인천,2024,8,18.0,27.0
광주,2024,8,12.0,19.0
대전,2024,8,12.0,19.0
울산,2024,8,13.0,23.0
세종,2024,8,12.0,23.0
경기,2024,8,14.0,25.0
강원,2024,8,9.0,19.0
충북,2024,8,12.0,20.0
충남,2024,8,15.0,25.0
전북,2024,8,14.0,24.0
전남,2024,8,12.0,22.0
경북,2024,8,12.0,22.0
경남,2024,8,13.0,20.0
제주,2024,8,12.0,23.0
전국,2024,9,9.0,18.0
서울,2024,9,9.0,16.0
부산,2024,9,8.0,15.0
대구,2024,9,8.0,16.0
인천,2024,9,11.0,18.0
광주,2024,9,10.0,16.0
대전,2024,9,8.0,14.0
울산,2024,9,10.0,20.0
세종,2024,9,8.0,17.0
경기,2024,9,9.0,18.0
강원,2024,9,6.0,15.0
충북,2024,9,8.0,15.0
충남,2024,9,10.0,19.0
전북,2024,9,11.0,21.0
전남,2024,9,9.0,19.0
경북,2024,9,10.0,20.0
경남,2024,9,10.0,16.0
제주,2024,9,10.0,21.0
전국,2024,10,12.0,23.0
서울,2024,10,13.0,23.0
부산,2024,10,9.0,17.0
대구,2024,10,10.0,20.0
인천,2024,10,16.0,28.0
광주,2024,10,13.0,22.0
대전,2024,10,11.0,21.0
울산,2024,10,10.0,20.0
세종,2024,10,12.0,23.0
경기,2024,10,14.0,25.0
강원,2024,10,8.0,17.0
충북,2024,10,12.0,21.0
충남,2024,10,15.0,27.0
전북,2024,10,14.0,27.0
전남,2024,10,10.0,21.0
경북,2024,10,11.0,23.0
경남,2024,10,9.0,17.0
제주,2024,10,10.0,22.0
전국,2024,11,15.0,27.0
서울,2024,11,17.0,29.0
부산,2024,11,12.0,21.0
대구,2024,11,14.0,25.0
인천,2024,11,18.0,31.0
광주,2024,11,15.0,25.0
대전,2024,11,15.0,25.0
울산,2024,11,12.0,24.0
세종,2024,11,17.0,28.0
경기,2024,11,17.0,30.0
강원,2024,11,12.0,22.0
충북,2024,11,16.0,27.0
충남,2024,11,19.0,31.0
전북,2024,11,17.0,30.0
전남,2024,11,12.0,22.0
경북,2024,11,15.0,28.0
경남,2024,11,12.0,20.0
제주,2024,11,12.0,24.0
전국,2024,12,17.0,29.0
서울,2024,12,19.0,34.0
부산,2024,12,15.0,25.0
대구,2024,12,15.0,26.0
인천,2024,12,19.0,33.0
광주,2024,12,16.0,26.0
대전,2024,12,15.0,29.0
울산,2024,12,14.0,26.0
세종,2024,12,19.0,31.0
경기,2024,12,19.0,35.0
강원,2024,12,15.0,27.0
충북,2024,12,20.0,33.0
충남,2024,12,18.0,31.0
전북,2024,12,16.0,29.0
전남,2024,12,12.0,22.0
경북,2024,12,17.0,30.0
경남,2024,12,13.0,21.0
제주,2024,12,14.0,28.0
