시도,연도,급속 설치건수,급속 누적건수,완속 설치건수,완속 누적건수
강원,2016,2.0,2.0,1.0,1.0
강원,2017,100.0,102.0,150.0,151.0
강원,2018,295.0,397.0,159.0,310.0
강원,2019,146.0,543.0,231.0,541.0
강원,2020,141.0,684.0,432.0,973.0
강원,2021,219.0,903.0,589.0,1562.0
강원,2022,391.0,1294.0,2828.0,4390.0
강원,2023,740.0,2034.0,3520.0,7910.0
강원,2024,452.0,2486.0,3267.0,11177.0
강원,2025,109.0,2595.0,1375.0,12552.0
경기,2016,16.0,16.0,40.0,40.0
경기,2017,418.0,434.0,1291.0,1331.0
경기,2018,596.0,1030.0,2718.0,4049.0
경기,2019,565.0,1595.0,2287.0,6336.0
경기,2020,382.0,1977.0,2393.0,8729.0
경기,2021,693.0,2670.0,6154.0,14883.0
경기,2022,1457.0,4127.0,25509.0,40392.0
경기,2023,3993.0,8120.0,29524.0,69916.0
경기,2024,3018.0,11138.0,33371.0,103287.0
경기,2025,979.0,12117.0,14916.0,118203.0
경남,2015,0.0,0.0,2.0,2.0
경남,2016,8.0,8.0,9.0,11.0
경남,2017,152.0,160.0,348.0,359.0
경남,2018,209.0,369.0,308.0,667.0
경남,2019,163.0,532.0,781.0,1448.0
경남,2020,162.0,694.0,738.0,2186.0
경남,2021,462.0,1156.0,1022.0,3208.0
경남,2022,364.0,1520.0,4876.0,8084.0
경남,2023,993.0,2513.0,5487.0,13571.0
경남,2024,902.0,3415.0,5515.0,19086.0
경남,2025,127.0,3542.0,3493.0,22579.0
경북,2016,4.0,4.0,6.0,6.0
경북,2017,146.0,150.0,239.0,245.0
경북,2018,305.0,455.0,318.0,563.0
경북,2019,232.0,687.0,478.0,1041.0
경북,2020,262.0,949.0,559.0,1600.0
경북,2021,413.0,1362.0,1170.0,2770.0
경북,2022,518.0,1880.0,3463.0,6233.0
경북,2023,1192.0,3072.0,3737.0,9970.0
경북,2024,678.0,3750.0,4245.0,14215.0
경북,2025,105.0,3855.0,1837.0,16052.0
광주,2016,1.0,1.0,0.0,0.0
광주,2017,47.0,48.0,113.0,113.0
광주,2018,51.0,99.0,257.0,370.0
광주,2019,64.0,163.0,390.0,760.0
광주,2020,58.0,221.0,343.0,1103.0
광주,2021,103.0,324.0,669.0,1772.0
광주,2022,160.0,484.0,2450.0,4222.0
광주,2023,276.0,760.0,2908.0,7130.0
광주,2024,295.0,1055.0,3916.0,11046.0
광주,2025,66.0,1121.0,1235.0,12281.0
대구,2016,1.0,1.0,7.0,7.0
대구,2017,132.0,133.0,415.0,422.0
대구,2018,148.0,281.0,450.0,872.0
대구,2019,105.0,386.0,506.0,1378.0
대구,2020,144.0,530.0,410.0,1788.0
대구,2021,119.0,649.0,1552.0,3340.0
대구,2022,252.0,901.0,4462.0,7802.0
대구,2023,577.0,1478.0,4577.0,12379.0
대구,2024,183.0,1661.0,4677.0,17056.0
대구,2025,40.0,1701.0,2254.0,19310.0
대전,2016,0.0,0.0,1.0,1.0
대전,2017,91.0,91.0,191.0,192.0
대전,2018,53.0,144.0,152.0,344.0
대전,2019,77.0,221.0,373.0,717.0
대전,2020,51.0,272.0,222.0,939.0
대전,2021,132.0,404.0,729.0,1668.0
대전,2022,225.0,629.0,2826.0,4494.0
대전,2023,309.0,938.0,3891.0,8385.0
대전,2024,290.0,1228.0,2061.0,10446.0
대전,2025,51.0,1279.0,1461.0,11907.0
부산,2016,5.0,5.0,6.0,6.0
부산,2017,95.0,100.0,284.0,290.0
부산,2018,70.0,170.0,453.0,743.0
부산,2019,62.0,232.0,846.0,1589.0
부산,2020,48.0,280.0,448.0,2037.0
부산,2021,112.0,392.0,1142.0,3179.0
부산,2022,325.0,717.0,6459.0,9638.0
부산,2023,837.0,1554.0,8368.0,18006.0
부산,2024,332.0,1886.0,4867.0,22873.0
부산,2025,91.0,1977.0,2736.0,25609.0
서울,2014,0.0,0.0,1.0,1.0
서울,2015,3.0,3.0,5.0,6.0
서울,2016,11.0,14.0,19.0,25.0
서울,2017,326.0,340.0,946.0,971.0
서울,2018,216.0,556.0,1118.0,2089.0
서울,2019,195.0,751.0,1016.0,3105.0
서울,2020,260.0,1011.0,1606.0,4711.0
서울,2021,422.0,1433.0,6806.0,11517.0
서울,2022,905.0,2338.0,17213.0,28730.0
서울,2023,1635.0,3973.0,13320.0,42050.0
서울,2024,1046.0,5019.0,13054.0,55104.0
서울,2025,438.0,5457.0,4967.0,60071.0
세종,2016,0.0,0.0,1.0,1.0
세종,2017,44.0,44.0,92.0,93.0
세종,2018,50.0,94.0,168.0,261.0
세종,2019,23.0,117.0,92.0,353.0
세종,2020,17.0,134.0,101.0,454.0
세종,2021,46.0,180.0,264.0,718.0
세종,2022,55.0,235.0,1490.0,2208.0
세종,2023,125.0,360.0,1502.0,3710.0
세종,2024,82.0,442.0,816.0,4526.0
세종,2025,31.0,473.0,508.0,5034.0
울산,2016,0.0,0.0,2.0,2.0
울산,2017,21.0,21.0,82.0,84.0
울산,2018,91.0,112.0,72.0,156.0
울산,2019,75.0,187.0,195.0,351.0
울산,2020,57.0,244.0,209.0,560.0
울산,2021,74.0,318.0,349.0,909.0
울산,2022,194.0,512.0,1409.0,2318.0
울산,2023,299.0,811.0,2356.0,4674.0
울산,2024,174.0,985.0,1965.0,6639.0
울산,2025,37.0,1022.0,1176.0,7815.0
인천,2016,6.0,6.0,2.0,2.0
인천,2017,95.0,101.0,259.0,261.0
인천,2018,99.0,200.0,321.0,582.0
인천,2019,103.0,303.0,262.0,844.0
인천,2020,88.0,391.0,410.0,1254.0
인천,2021,156.0,547.0,1208.0,2462.0
인천,2022,327.0,874.0,5145.0,7607.0
인천,2023,484.0,1358.0,6235.0,13842.0
인천,2024,518.0,1876.0,6806.0,20648.0
인천,2025,283.0,2159.0,3341.0,23989.0
전국,2014,0.0,0.0,1.0,1.0
전국,2015,3.0,3.0,9.0,10.0
전국,2016,96.0,99.0,112.0,122.0
전국,2017,2254.0,2353.0,5358.0,5480.0
전국,2018,3057.0,5410.0,7923.0,13403.0
전국,2019,2631.0,8041.0,9735.0,23138.0
전국,2020,2546.0,10587.0,10152.0,33290.0
전국,2021,4323.0,14910.0,24709.0,57999.0
전국,2022,6855.0,21765.0,90548.0,148547.0
전국,2023,14742.0,36507.0,100619.0,249166.0
전국,2024,10583.0,47090.0,100124.0,349290.0
전국,2025,2935.0,50025.0,45679.0,394969.0
전국,2026,0.0,0.0,1.0,394970.0
전국,2027,0.0,0.0,1.0,394971.0
전국,2028,1.0,50026.0,0.0,0.0
전남,2016,6.0,6.0,1.0,1.0
전남,2017,128.0,134.0,178.0,179.0
전남,2018,203.0,337.0,261.0,440.0
전남,2019,174.0,511.0,331.0,771.0
전남,2020,183.0,694.0,526.0,1297.0
전남,2021,263.0,957.0,513.0,1810.0
전남,2022,267.0,1224.0,2128.0,3938.0
전남,2023,685.0,1909.0,3463.0,7401.0
전남,2024,467.0,2376.0,3529.0,10930.0
전남,2025,167.0,2543.0,930.0,11860.0
전남,2026,0.0,0.0,1.0,11861.0
전남,2027,0.0,0.0,1.0,11862.0
전남,2028,1.0,2544.0,0.0,0.0
전북,2016,2.0,2.0,3.0,3.0
전북,2017,93.0,95.0,238.0,241.0
전북,2018,164.0,259.0,227.0,468.0
전북,2019,106.0,365.0,250.0,718.0
전북,2020,228.0,593.0,463.0,1181.0
전북,2021,251.0,844.0,575.0,1756.0
전북,2022,306.0,1150.0,2865.0,4621.0
전북,2023,870.0,2020.0,3071.0,7692.0
전북,2024,625.0,2645.0,3678.0,11370.0
전북,2025,132.0,2777.0,1229.0,12599.0
제주,2016,30.0,30.0,10.0,10.0
제주,2017,156.0,186.0,199.0,209.0
제주,2018,172.0,358.0,330.0,539.0
제주,2019,194.0,552.0,569.0,1108.0
제주,2020,245.0,797.0,589.0,1697.0
제주,2021,345.0,1142.0,544.0,2241.0
제주,2022,459.0,1601.0,1048.0,3289.0
제주,2023,337.0,1938.0,1384.0,4673.0
제주,2024,278.0,2216.0,1199.0,5872.0
제주,2025,37.0,2253.0,233.0,6105.0
충남,2016,1.0,1.0,4.0,4.0
충남,2017,86.0,87.0,155.0,159.0
충남,2018,180.0,267.0,351.0,510.0
충남,2019,214.0,481.0,632.0,1142.0
충남,2020,128.0,609.0,414.0,1556.0
충남,2021,313.0,922.0,813.0,2369.0
충남,2022,334.0,1256.0,3435.0,5804.0
충남,2023,773.0,2029.0,4167.0,9971.0
충남,2024,752.0,2781.0,4111.0,14082.0
충남,2025,153.0,2934.0,1982.0,16064.0
충북,2015,0.0,0.0,2.0,2.0
충북,2016,3.0,3.0,0.0,0.0
충북,2017,124.0,127.0,178.0,180.0
충북,2018,155.0,282.0,260.0,440.0
충북,2019,133.0,415.0,496.0,936.0
충북,2020,92.0,507.0,289.0,1225.0
충북,2021,200.0,707.0,610.0,1835.0
충북,2022,316.0,1023.0,2942.0,4777.0
충북,2023,617.0,1640.0,3109.0,7886.0
충북,2024,491.0,2131.0,3047.0,10933.0
충북,2025,89.0,2220.0,2006.0,12939.0
