년도,월,차종,차량전체_등록수,차량전체_순증가량,수소차_등록수,수소차_순증가량,하이브리드차_등록수,하이브리드차_순증
2020,01,소계,94921144,211680,20668,336,2053876,29688
2020,01,승용,76897048,186980,20608,336,2052532,29688
2020,01,승합,3243076,-4120,60,0,1344,0
2020,01,특수,383912,2056,0,0,0,0
2020,01,화물,14397108,26764,0,0,0,0
2020,02,소계,94973564,52420,22232,1564,2072880,19004
2020,02,승용,76951320,54272,22172,1564,2071536,19004
2020,02,승합,3233512,-9564,60,0,1344,0
2020,02,특수,386016,2104,0,0,0,0
2020,02,화물,14402716,5608,0,0,0,0
2020,03,소계,95188332,214768,24500,2268,2111472,38592
2020,03,승용,77178728,227408,24440,2268,2110132,38596
2020,03,승합,3222136,-11376,60,0,1340,-4
2020,03,특수,387992,1976,0,0,0,0
2020,03,화물,14399476,-3240,0,0,0,0
2020,04,소계,95436372,248040,28132,3632,2160556,49084
2020,04,승용,77439304,260576,28072,3632,2159216,49084
2020,04,승합,3212488,-9648,60,0,1340,0
2020,04,특수,390960,2968,0,0,0,0
2020,04,화물,14393620,-5856,0,0,0,0
2020,05,소계,95704312,267940,29256,1124,2217520,56964
2020,05,승용,77712308,273004,29196,1124,2216180,56964
2020,05,승합,3203576,-8912,60,0,1340,0
2020,05,특수,394376,3416,0,0,0,0
2020,05,화물,14394052,432,0,0,0,0
2020,06,소계,96092332,388020,30728,1472,2282024,64504
2020,06,승용,78087504,375196,30668,1472,2280684,64504
2020,06,승합,3195816,-7760,60,0,1340,0
2020,06,특수,399004,4628,0,0,0,0
2020,06,화물,14410008,15956,0,0,0,0
2020,07,소계,96390304,297972,33192,2464,2341224,59200
2020,07,승용,78365984,278480,33128,2460,2339868,59184
2020,07,승합,3188656,-7160,64,4,1340,0
2020,07,특수,403676,4672,0,0,0,0
2020,07,화물,14431988,21980,0,0,16,16
2020,08,소계,96521640,131336,35644,2452,2381648,40424
2020,08,승용,78503252,137268,35580,2452,2380296,40428
2020,08,승합,3178132,-10524,64,0,1336,-4
2020,08,특수,407300,3624,0,0,0,0
2020,08,화물,14432956,968,0,0,16,0
2020,09,소계,96805568,283928,37976,2332,2450308,68660
2020,09,승용,78775188,271936,37896,2316,2448952,68656
2020,09,승합,3167120,-11012,80,16,1336,0
2020,09,특수,411780,4480,0,0,0,0
2020,09,화물,14451480,18524,0,0,20,4
2020,10,소계,97003784,198216,40164,2188,2512656,62348
2020,10,승용,78975432,200244,40056,2160,2511296,62344
2020,10,승합,3155596,-11524,108,28,1332,-4
2020,10,특수,415452,3672,0,0,0,0
2020,10,화물,14457304,5824,0,0,28,8
2020,11,소계,97260300,256516,41908,1744,2606252,93596
2020,11,승용,79231700,256268,41728,1672,2604872,93576
2020,11,승합,3144960,-10636,180,72,1332,0
2020,11,특수,419720,4268,0,0,0,0
2020,11,화물,14463920,6616,0,0,48,20
2020,12,소계,97463916,203616,43624,1716,2697844,91592
2020,12,승용,79443820,212120,43324,1596,2696460,91588
2020,12,승합,3135368,-9592,300,120,1332,0
2020,12,특수,423748,4028,0,0,0,0
2020,12,화물,14460980,-2940,0,0,52,4
2021,01,소계,97745876,281960,44184,560,2770628,72784
2021,01,승용,79695668,251848,43784,460,2769232,72772
2021,01,승합,3128160,-7208,400,100,1332,0
2021,01,특수,428508,4760,0,0,0,0
2021,01,화물,14493540,32560,0,0,64,12
2021,02,소계,97930080,184204,46228,2044,2832860,62232
2021,02,승용,79867108,171440,45828,2044,2831464,62232
2021,02,승합,3120312,-7848,400,0,1332,0
2021,02,특수,432416,3908,0,0,0,0
2021,02,화물,14510244,16704,0,0,64,0
2021,03,소계,98135180,205100,49756,3528,2910524,77664
2021,03,승용,80066844,199736,49352,3524,2909096,77632
2021,03,승합,3104996,-15316,404,4,1332,0
2021,03,특수,436732,4316,0,0,0,0
2021,03,화물,14526608,16364,0,0,96,32
2021,04,소계,98248828,113648,54588,4832,2989176,78652
2021,04,승용,80237820,170976,54180,4828,2987736,78640
2021,04,승합,3084060,-20936,408,4,1332,0
2021,04,특수,440824,4092,0,0,0,0
2021,04,화물,14486124,-40484,0,0,108,12
2021,05,소계,98349372,100544,58128,3540,3058332,69156
2021,05,승용,80386772,148952,57704,3524,3056888,69152
2021,05,승합,3069400,-14660,424,16,1332,0
2021,05,특수,444492,3668,0,0,0,0
2021,05,화물,14448708,-37416,0,0,112,4
2021,06,소계,98569004,219632,60900,2772,3140572,82240
2021,06,승용,80607996,221224,60476,2772,3139108,82220
2021,06,승합,3057776,-11624,424,0,1332,0
2021,06,특수,449176,4684,0,0,4,4
2021,06,화물,14454056,5348,0,0,128,16
2021,07,소계,98814088,245084,63060,2160,3227232,86660
2021,07,승용,80828556,220560,62636,2160,3225732,86624
2021,07,승합,3049100,-8676,424,0,1332,0
2021,07,특수,454148,4972,0,0,4,0
2021,07,화물,14482284,28228,0,0,164,36
2021,08,소계,98964532,150444,64824,1764,3300436,73204
2021,08,승용,80972968,144412,64392,1756,3298916,73184
2021,08,승합,3038264,-10836,432,8,1332,0
2021,08,특수,458368,4220,0,0,4,0
2021,08,화물,14494932,12648,0,0,184,20
2021,09,소계,99112016,147484,68304,3480,3378252,77816
2021,09,승용,81115948,142980,67852,3460,3376728,77812
2021,09,승합,3028144,-10120,452,20,1324,-8
2021,09,특수,462172,3804,0,0,4,0
2021,09,화물,14505752,10820,0,0,196,12
2021,10,소계,99242548,130532,72272,3968,3462124,83872
2021,10,승용,81257960,142012,71812,3960,3460592,83864
2021,10,승합,3017272,-10872,460,8,1324,0
2021,10,특수,465984,3812,0,0,4,0
2021,10,화물,14501332,-4420,0,0,204,8
2021,11,소계,99445908,203360,76016,3744,3546844,84720
2021,11,승용,81452008,194048,75504,3692,3545304,84712
2021,11,승합,3008248,-9024,512,52,1320,-4
2021,11,특수,469864,3880,0,0,4,0
2021,11,화물,14515788,14456,0,0,216,12
2021,12,소계,99644404,198496,77616,1600,3632960,86116
2021,12,승용,81642592,190584,77080,1576,3631412,86108
2021,12,승합,2999872,-8376,516,4,1308,-12
2021,12,특수,474040,4176,0,0,4,0
2021,12,화물,14527900,12112,20,20,236,20
2022,01,소계,99882648,238244,78452,836,3701292,68332
2022,01,승용,81848048,205456,77904,824,3699724,68312
2022,01,승합,2991908,-7964,528,12,1308,0
2022,01,특수,478392,4352,0,0,4,0
2022,01,화물,14564300,36400,20,0,256,20
2022,02,소계,100061164,178516,81180,2728,3777548,76256
2022,02,승용,81995944,147896,80632,2728,3775960,76236
2022,02,승합,2984032,-7876,528,0,1308,0
2022,02,특수,482060,3668,0,0,4,0
2022,02,화물,14599128,34828,20,0,276,20
2022,03,소계,100280720,219556,82732,1552,3875820,98272
2022,03,승용,82201164,205220,82112,1480,3874220,98260
2022,03,승합,2971408,-12624,600,72,1308,0
2022,03,특수,486512,4452,0,0,4,0
2022,03,화물,14621636,22508,20,0,288,12
2022,04,소계,100483864,203144,87568,4836,3975200,99380
2022,04,승용,82405964,204800,86920,4808,3973644,99424
2022,04,승합,2957696,-13712,628,28,1252,-56
2022,04,특수,490416,3904,0,0,4,0
2022,04,화물,14629788,8152,20,0,300,12
2022,05,소계,100669636,185772,92516,4948,4075480,100280
2022,05,승용,82593916,187952,91832,4912,4073916,100272
2022,05,승합,2945896,-11800,664,36,1252,0
2022,05,특수,494408,3992,0,0,4,0
2022,05,화물,14635416,5628,20,0,308,8
2022,06,소계,100862768,193132,96476,3960,4166948,91468
2022,06,승용,82780272,186356,95732,3900,4165372,91456
2022,06,승합,2938948,-6948,724,60,1248,-4
2022,06,특수,498340,3932,0,0,4,0
2022,06,화물,14645208,9792,20,0,324,16
2022,07,소계,101119160,256392,98748,2272,4263364,96416
2022,07,승용,83002368,222096,97968,2236,4261780,96408
2022,07,승합,2932336,-6612,760,36,1244,-4
2022,07,특수,502904,4564,0,0,4,0
2022,07,화물,14681552,36344,20,0,336,12
2022,08,소계,101259728,140568,102280,3532,4338788,75424
2022,08,승용,83122008,119640,101500,3532,4337196,75416
2022,08,승합,2925200,-7136,760,0,1244,0
2022,08,특수,506692,3788,0,0,4,0
2022,08,화물,14705828,24276,20,0,344,8
2022,09,소계,101423752,164024,106876,4596,4414568,75780
2022,09,승용,83263704,141696,106032,4532,4412980,75784
2022,09,승합,2916156,-9044,824,64,1240,-4
2022,09,특수,510520,3828,0,0,4,0
2022,09,화물,14733372,27544,20,0,344,0
2022,10,소계,101610536,186784,111480,4604,4486316,71748
2022,10,승용,83428288,164584,110496,4464,4484724,71744
2022,10,승합,2908448,-7708,964,140,1236,-4
2022,10,특수,513648,3128,0,0,4,0
2022,10,화물,14760152,26780,20,0,352,8
2022,11,소계,101845444,234908,116128,4648,4583020,96704
2022,11,승용,83647544,219256,115068,4572,4581440,96716
2022,11,승합,2902364,-6084,1040,76,1224,-12
2022,11,특수,517036,3388,0,0,4,0
2022,11,화물,14778500,18348,20,0,352,0
2022,12,소계,102012312,166868,118492,2364,4682028,99008
2022,12,승용,83811036,163492,117348,2280,4680448,99008
2022,12,승합,2895844,-6520,1124,84,1224,0
2022,12,특수,520164,3128,0,0,4,0
2022,12,화물,14785268,6768,20,0,352,0
2023,01,소계,102224264,211952,118756,264,4774540,92512
2023,01,승용,83997520,186484,117584,236,4772960,92512
2023,01,승합,2889576,-6268,1152,28,1224,0
2023,01,특수,522764,2600,0,0,4,0
2023,01,화물,14814404,29136,20,0,352,0
2023,02,소계,102386144,161880,122192,3436,4869100,94560
2023,02,승용,84127876,130356,120972,3388,4867528,94568
2023,02,승합,2883684,-5892,1200,48,1216,-8
2023,02,특수,525056,2292,0,0,4,0
2023,02,화물,14849528,35124,20,0,352,0
2023,03,소계,102586456,200312,125904,3712,5001212,132112
2023,03,승용,84306496,178620,124612,3640,4999640,132112
2023,03,승합,2870700,-12984,1268,68,1216,0
2023,03,특수,527912,2856,0,0,4,0
2023,03,화물,14881348,31820,24,4,352,0
2023,04,소계,102718728,132272,127220,1316,5112528,111316
2023,04,승용,84459804,153308,125908,1296,5110952,111312
2023,04,승합,2856224,-14476,1284,16,1216,0
2023,04,특수,530368,2456,0,0,4,0
2023,04,화물,14872332,-9016,28,4,356,4
2023,05,소계,102834648,115920,128672,1452,5241296,128768
2023,05,승용,84589428,129624,127332,1424,5239720,128768
2023,05,승합,2843496,-12728,1312,28,1216,0
2023,05,특수,532968,2600,0,0,4,0
2023,05,화물,14868756,-3576,28,0,356,0
2023,06,소계,103028804,194156,129936,1264,5387284,145988
2023,06,승용,84786124,196696,128540,1208,5385708,145988
2023,06,승합,2833936,-9560,1368,56,1212,-4
2023,06,특수,536228,3260,0,0,4,0
2023,06,화물,14872516,3760,28,0,360,4
2023,07,소계,103181344,152540,131584,1648,5508092,120808
2023,07,승용,84925292,139168,130096,1556,5506532,120824
2023,07,승합,2825388,-8548,1460,92,1192,-20
2023,07,특수,539144,2916,0,0,4,0
2023,07,화물,14891520,19004,28,0,364,4
2023,08,소계,103231484,50140,132852,1268,5617012,108920
2023,08,승용,84990736,65444,131160,1064,5615464,108932
2023,08,승합,2813868,-11520,1664,204,1176,-16
2023,08,특수,541956,2812,0,0,4,0
2023,08,화물,14884924,-6596,28,0,368,4
2023,09,소계,103382592,151108,134004,1152,5738476,121464
2023,09,승용,85149340,158604,132084,924,5736932,121468
2023,09,승합,2803828,-10040,1884,220,1168,-8
2023,09,특수,544408,2452,0,0,4,0
2023,09,화물,14885016,92,36,8,372,4
2023,10,소계,103480608,98016,135184,1180,5861516,123040
2023,10,승용,85251176,101836,132980,896,5859972,123040
2023,10,승합,2793312,-10516,2164,280,1168,0
2023,10,특수,546712,2304,0,0,4,0
2023,10,화물,14889408,4392,40,4,372,0
2023,11,소계,103671904,191296,136184,1000,6025344,163828
2023,11,승용,85435484,184308,133800,820,6023800,163828
2023,11,승합,2783592,-9720,2328,164,1168,0
2023,11,특수,549164,2452,0,0,4,0
2023,11,화물,14903664,14256,56,16,372,0
2023,12,소계,103796804,124900,137032,848,6168528,143184
2023,12,승용,85560808,125324,134364,564,6166988,143188
2023,12,승합,2778296,-5296,2604,276,1164,-4
2023,12,특수,552100,2936,0,0,4,0
2023,12,화물,14905600,1936,64,8,372,0
2024,01,소계,103970960,174156,137072,40,6344580,176052
2024,01,승용,85718164,157356,134348,-16,6343048,176060
2024,01,승합,2771652,-6644,2660,56,1152,-12
2024,01,특수,554848,2748,0,0,4,0
2024,01,화물,14926296,20696,64,0,376,4
2024,02,소계,104078188,107228,138140,1068,6479704,135124
2024,02,승용,85817352,99188,135320,972,6478176,135128
2024,02,승합,2765724,-5928,2756,96,1144,-8
2024,02,특수,557008,2160,0,0,4,0
2024,02,화물,14938104,11808,64,0,380,4
2024,03,소계,104217464,139276,139488,1348,6636672,156968
2024,03,승용,85969548,152196,136548,1228,6634600,156424
2024,03,승합,2751720,-14004,2864,108,1124,-20
2024,03,특수,559028,2020,4,4,4,0
2024,03,화물,14937168,-936,72,8,944,564
2024,04,소계,104281432,63968,140648,1160,6792812,156140
2024,04,승용,86076368,106820,137532,984,6788008,153408
2024,04,승합,2735580,-16140,3028,164,2060,936
2024,04,특수,560696,1668,8,4,24,20
2024,04,화물,14908788,-28380,80,8,2720,1776
2024,05,소계,104385640,104208,142168,1520,6941640,148828
2024,05,승용,86202652,126284,138692,1160,6935024,147016
2024,05,승합,2722776,-12804,3388,360,3044,984
2024,05,특수,562584,1888,8,0,52,28
2024,05,화물,14897628,-11160,80,0,3520,800
2024,06,소계,104537900,152260,143948,1780,7083772,142132
2024,06,승용,86359088,156436,139892,1200,7074716,139692
2024,06,승합,2715096,-7680,3960,572,4008,964
2024,06,특수,564564,1980,8,0,72,20
2024,06,화물,14899152,1524,88,8,4976,1456
2024,07,소계,104652648,114748,145576,1628,7228796,145024
2024,07,승용,86481676,122588,141176,1284,7217008,142292
2024,07,승합,2705392,-9704,4304,344,5092,1084
2024,07,특수,567068,2504,8,0,156,84
2024,07,화물,14898512,-640,88,0,6540,1564
2024,08,소계,104688256,35608,147148,1572,7346524,117728
2024,08,승용,86533324,51648,142296,1120,7333488,116480
2024,08,승합,2696028,-9364,4740,436,5664,572
2024,08,특수,568804,1736,8,0,200,44
2024,08,화물,14890100,-8412,104,16,7172,632
2024,09,소계,104810164,121908,147916,768,7514460,167936
2024,09,승용,86667368,134044,142864,568,7499240,165752
2024,09,승합,2687896,-8132,4936,196,6432,768
2024,09,특수,570488,1684,8,0,232,32
2024,09,화물,14884412,-5688,108,4,8556,1384
2024,10,소계,104930276,120112,149580,1664,7700004,185544
2024,10,승용,86800532,133164,143992,1128,7682828,183588
2024,10,승합,2678848,-9048,5448,512,7312,880
2024,10,특수,572104,1616,12,4,248,16
2024,10,화물,14878792,-5620,128,20,9616,1060
2024,11,소계,105094424,164148,149928,348,7891392,191388
2024,11,승용,86977416,176884,144128,136,7872188,189360
2024,11,승합,2671908,-6940,5648,200,8140,828
2024,11,특수,573872,1768,12,0,372,124
2024,11,화물,14871228,-7564,140,12,10692,1076
2024,12,소계,105191676,97252,150228,300,8097924,206532
2024,12,승용,87084480,107064,144132,4,8077036,204848
2024,12,승합,2664664,-7244,5932,284,8724,584
2024,12,특수,575560,1688,12,0,400,28
2024,12,화물,14866972,-4256,152,12,11764,1072
