번호,업체명,차종,차명,형식,사용연료,인증구분,"배출가스
86,케이지모빌리티커머셜(주),승용(대형),케이지 씨090,KB511-EV-SD,전기(EV),신규인증,RMY-ED-21-32,2024-10-23,,,316,,,
87,(주)우진산전,승용(초대형),아폴로 1100,WJEB-11CTLP-08,전기(EV),신규인증,RMY-WJ-21-33,2024-10-23,,,396,,,
88,현대자동차(주),승용(소형),GV60 RWD 19인치,JW-EV-G7A-ST2-19,전기(EV),변경인증,MMY-HD-21-45,2024-10-16,,,,,,
89,현대자동차(주),승용(소형),GV60 4WD 20인치,JW-EV-G7A-ST4-20,전기(EV),변경인증,MMY-HD-21-46,2024-10-16,,,,,,
90,현대자동차(주),승용(소형),GV60 4WD 19인치,JW-EV-G7A-ST4-19,전기(EV),변경인증,MMY-HD-21-46,2024-10-16,,,,,,
91,현대자동차(주),승용(소형),GV60 성능형 4WD 21인치,JW-EV-G7A-PF4-21,전기(EV),변경인증,MMY-HD-21-47,2024-10-16,,,,,,
92,현대자동차(주),승용(소형),GV70 Electrified 20인치,JK1-EV-G7A-20,전기(EV),변경인증,MMY-HD-21-61,2024-10-16,,,,,,
93,현대자동차(주),승용(소형),GV70 Electrified 19인치,JK1-EV-G7A-19,전기(EV),변경인증,MMY-HD-21-61,2024-10-16,,,,,,
94,현대자동차(주),승용(소형),GV70 Electrified 무선충전,JK1-EV-G7A-WL,전기(EV),변경인증,MMY-HD-21-61,2024-10-16,,,,,,
95,현대자동차(주),승용(소형),아이오닉6 기본형 RWD 18인치,CE1-EV-G7A-ST2-18D,전기(EV),변경인증,NMY-HD-21-30,2024-10-16,,,,,,
96,현대자동차(주),승용(소형),아이오닉6 항속형 AWD 18인치,CE1-EV-G7A-EX4-18D,전기(EV),변경인증,NMY-HD-21-36,2024-10-16,,,,,,
97,현대자동차(주),승용(소형),아이오닉6 항속형 AWD 20인치,CE1-EV-G7A-EX4-20D,전기(EV),변경인증,NMY-HD-21-36,2024-10-16,,,,,,
98,현대자동차(주),승용(소형),아이오닉6 항속형 RWD 18인치,CE1-EV-G7A-EX2-18D,전기(EV),변경인증,NMY-HD-21-37,2024-10-16,,,,,,
99,현대자동차(주),승용(소형),아이오닉6 항속형 RWD 20인치,CE1-EV-G7A-EX2-20D,전기(EV),변경인증,NMY-HD-21-37,2024-10-16,,,,,,
100,현대자동차(주),승용(소형),G80 Electrified,RG3PE-EV-G7A,전기(EV),변경인증,RMY-HD-21-21,2024-10-16,,,,,,
101,현대자동차(주),승용(소형),GV70 Electrified 19인치,JK1FL-EV-G7A-19,전기(EV),변경인증,RMY-HD-21-28,2024-10-16,,,,,,
102,현대자동차(주),승용(소형),GV70 Electrified 20인치,JK1FL-EV-G7A-20,전기(EV),변경인증,RMY-HD-21-28,2024-10-16,,,,,,
103,그린모빌리티,이륜,JANGBORI-II,ETDJ-2.0,전기(EV),변경인증,MMY-GR-21-31,2024-10-14,51.4,,,40,,
104,케이지모빌리티커머셜(주),승용(대형),케이지 씨090,KB611-EV-SD,전기(EV),신규인증,RMY-ED-21-30,2024-10-14,,,377,,,
105,기아(주),승용(소형),EV9 기본형 2WD 19인치 6인,MV1-EV6-G7A-ST2W-19,전기(EV),신규인증,RMY-KM-21-31,2024-10-14,429,332,385,304,311,307
106,기아(주),승용(소형),EV9 기본형 2WD 19인치 7인,MV1-EV7-G7A-ST2W-19,전기(EV),신규인증,RMY-KM-21-31,2024-10-14,429,332,385,304,311,307
107,현대자동차(주),승용(소형),캐스퍼 EV CROSS 바스켓 루프랙 17인치,AX-EV-G7A-CSBS-17,전기(EV),신규인증,RMY-HD-21-29,2024-10-08,274,216,248,231,223,227
108,현대자동차(주),승용(소형),캐스퍼 EV CROSS 17인치,AX-EV-G7A-CSBR-17,전기(EV),신규인증,RMY-HD-21-29,2024-10-08,314,255,287,236,254,244
109,(주)앨비,이륜,트레바이,H2.4-BL72DC,전기(EV),변경인증,PMY-SE-21-17,2024-09-19,,,,43.6,,
110,현대자동차(주),승용(소형),GV70 Electrified 19인치,JK1FL-EV-G7A-19,전기(EV),신규인증,RMY-HD-21-28,2024-09-12,448,393,423,347,400,371
111,현대자동차(주),승용(소형),GV70 Electrified 20인치,JK1FL-EV-G7A-20,전기(EV),신규인증,RMY-HD-21-28,2024-09-12,432,372,405,303,346,322
112,기아(주),승용(소형),EV6 GT 개조차,CVPE-EV-G7A-GT,전기(EV),신규인증,RMY-KM-21-27,2024-09-12,377,342,361,305,340,321
113,기아(주),승용(소형),EV6 기본형 2WD 개조차 19인치,CVPE-EV-G7A-ST2-19D,전기(EV),신규인증,RMY-KM-21-28,2024-09-12,427,342,389,290,322,304
114,현대자동차(주),화물(중형),ST1 기본형 샤시캡 17인치,A01-EV2-G7A-ST2-CHC-17,전기(EV),변경인증,RMY-HD-21-23,2024-09-11,,,,,,
115,현대자동차(주),화물(중형),ST1 기본형 하이탑 17인치,A01-EV2-G7A-ST2-HDVSS-17,전기(EV),변경인증,RMY-HD-21-7,2024-09-11,,,,,,
116,현대자동차(주),화물(중형),ST1 기본형 카고 17인치,A01-EV2-G7A-ST2-DVSS-17,전기(EV),변경인증,RMY-HD-21-7,2024-09-11,,,,,,
117,현대자동차(주),화물(중형),ST1 기본형 카고 냉동 17인치,A01-EV2-G7A-ST2-RTSS-17,전기(EV),변경인증,RMY-HD-21-7,2024-09-11,,,,,,
118,현대자동차(주),승용(소형),GV60 RWD 19인치,JW-EV-G7A-ST2-19,전기(EV),변경인증,MMY-HD-21-45,2024-09-09,,,,,,
119,현대자동차(주),승용(소형),GV60 4WD 20인치,JW-EV-G7A-ST4-20,전기(EV),변경인증,MMY-HD-21-46,2024-09-09,,,,,,
120,현대자동차(주),승용(소형),GV60 4WD 19인치,JW-EV-G7A-ST4-19,전기(EV),변경인증,MMY-HD-21-46,2024-09-09,,,,,,
121,현대자동차(주),승용(소형),GV60 성능형 4WD 21인치,JW-EV-G7A-PF4-21,전기(EV),변경인증,MMY-HD-21-47,2024-09-09,,,,,,
122,현대자동차(주),승용(소형),GV70 Electrified 무선충전,JK1-EV-G7A-WL,전기(EV),변경인증,MMY-HD-21-61,2024-09-09,,,,,,
123,현대자동차(주),승용(소형),GV70 Electrified 19인치,JK1-EV-G7A-19,전기(EV),변경인증,MMY-HD-21-61,2024-09-09,,,,,,
124,현대자동차(주),승용(소형),GV70 Electrified 20인치,JK1-EV-G7A-20,전기(EV),변경인증,MMY-HD-21-61,2024-09-09,,,,,,
125,현대자동차(주),승용(소형),아이오닉6 기본형 RWD 18인치,CE1-EV-G7A-ST2-18D,전기(EV),변경인증,NMY-HD-21-30,2024-09-09,,,,,,
126,현대자동차(주),승용(소형),아이오닉6 항속형 AWD 18인치,CE1-EV-G7A-EX4-18D,전기(EV),변경인증,NMY-HD-21-36,2024-09-09,,,,,,
127,현대자동차(주),승용(소형),아이오닉6 항속형 AWD 20인치,CE1-EV-G7A-EX4-20D,전기(EV),변경인증,NMY-HD-21-36,2024-09-09,,,,,,
128,현대자동차(주),승용(소형),아이오닉6 항속형 RWD 20인치,CE1-EV-G7A-EX2-20D,전기(EV),변경인증,NMY-HD-21-37,2024-09-09,,,,,,
129,현대자동차(주),승용(소형),아이오닉6 항속형 RWD 18인치,CE1-EV-G7A-EX2-18D,전기(EV),변경인증,NMY-HD-21-37,2024-09-09,,,,,,
130,현대자동차(주),승용(소형),아이오닉5 N,NEN-EV-G7A-ST4,전기(EV),변경인증,PMY-HD-21-22,2024-09-09,,,,,,
131,현대자동차(주),승용(소형),캐스퍼 EV 항속형 15인치,AX-EV-G7A-LR2W-15,전기(EV),변경인증,RMY-HD-21-19,2024-09-09,,,,,,
132,현대자동차(주),승용(소형),캐스퍼 EV 항속형 17인치,AX-EV-G7A-LR2W-17,전기(EV),변경인증,RMY-HD-21-19,2024-09-09,,,,,,
133,현대자동차(주),승용(소형),캐스퍼 EV 기본형 15인치,AX-EV-G7A-STD-15,전기(EV),변경인증,RMY-HD-21-24,2024-09-09,,,,,,
134,기아(주),경자동차,레이 EV,TAM-EV4-G7A-14,전기(EV),변경인증,PMY-KM-21-21,2024-09-04,,,,,,
135,기아(주),경자동차,레이 EV,TAM-EV1-G7A-14,전기(EV),변경인증,PMY-KM-21-21,2024-09-04,,,,,,
136,기아(주),경자동차,레이 EV,TAM-EV2-G7A-14,전기(EV),변경인증,PMY-KM-21-21,2024-09-04,,,,,,
137,현대자동차(주),승용(소형),코나 일렉트릭(N-Line) 19인치,SX2-EV-G7A-EX2-NL-19,전기(EV),변경인증,PMY-HD-21-11,2024-09-02,,,,,,
138,현대자동차(주),승용(소형),코나 일렉트릭(항속형) 17인치,SX2-EV-G7A-EX2-17,전기(EV),변경인증,PMY-HD-21-11,2024-09-02,,,,,,
139,현대자동차(주),승용(소형),코나 일렉트릭(항속형) 19인치,SX2-EV-G7A-EX2-19,전기(EV),변경인증,PMY-HD-21-11,2024-09-02,,,,,,
140,현대자동차(주),승용(소형),코나 일렉트릭(기본형),SX2-EV-G7A-ST2-17,전기(EV),변경인증,PMY-HD-21-12,2024-09-02,,,,,,
141,기아(주),승용(소형),EV9 4WD 19인치 6인,MV1-EV6-G7A-4W-19,전기(EV),변경인증,PMY-KM-21-13,2024-09-02,,,,,,
142,기아(주),승용(소형),EV9 4WD 19인치 7인,MV1-EV7-G7A-4W-19,전기(EV),변경인증,PMY-KM-21-13,2024-09-02,,,,,,
143,기아(주),승용(소형),EV9 4WD 21인치 6인,MV1-EV6-G7A-4W-21,전기(EV),변경인증,PMY-KM-21-13,2024-09-02,,,,,,
144,기아(주),승용(소형),EV9 4WD 21인치 7인,MV1-EV7-G7A-4W-21,전기(EV),변경인증,PMY-KM-21-13,2024-09-02,,,,,,
145,기아(주),승용(소형),EV9 2WD 19인치 6인,MV1-EV6-G7A-2W-19,전기(EV),변경인증,PMY-KM-21-14,2024-09-02,,,,,,
146,기아(주),승용(소형),EV9 2WD 20인치 7인,MV1-EV7-G7A-2W-20,전기(EV),변경인증,PMY-KM-21-14,2024-09-02,,,,,,
147,기아(주),승용(소형),EV9 2WD 20인치 6인,MV1-EV6-G7A-2W-20,전기(EV),변경인증,PMY-KM-21-14,2024-09-02,,,,,,
148,기아(주),승용(소형),EV9 2WD 19인치 7인,MV1-EV7-G7A-2W-19,전기(EV),변경인증,PMY-KM-21-14,2024-09-02,,,,,,
149,기아(주),승용(소형),EV9 GTL 4WD 21인치 7인,MV1-EV7-G7A-GTL4W-21,전기(EV),변경인증,PMY-KM-21-15,2024-09-02,,,,,,
150,기아(주),승용(소형),EV9 GTL 4WD 21인치 6인,MV1-EV6-G7A-GTL4W-21,전기(EV),변경인증,PMY-KM-21-15,2024-09-02,,,,,,
151,현대자동차(주),승용(소형),G80 Electrified,RG3PE-EV-G7A,전기(EV),변경인증,RMY-HD-21-21,2024-09-02,,,,,,
152,현대자동차(주),화물(중형),ST1 기본형 하이탑 17인치,A01-EV2-G7A-ST2-HDVSS-17,전기(EV),변경인증,RMY-HD-21-7,2024-08-28,341,224,289,220,212,216
153,(주)우진산전,승용(대형),아폴로 900,WJEB-09CTLP-03,전기(EV),신규인증,RMY-WJ-21-26,2024-08-27,,,374,,,
154,(주)우진산전,승용(초대형),아폴로 1100 양문형,WJEB-11CTLP-07,전기(EV),신규인증,RMY-WJ-21-25,2024-08-26,,,332,,,
155,클랜헌트 유한회사,이륜,newtro M,NMCK01,전기(EV),신규인증,RMY-EM-21-22,2024-08-12,58.6,,,44.2,,
156,현대자동차(주),화물(중형),ST1 기본형 샤시캡 17인치,A01-EV2-G7A-ST2-CHC-17,전기(EV),신규인증,RMY-HD-21-23,2024-08-06,383,258,327,213,228,220
157,현대자동차(주),승용(소형),캐스퍼 EV 기본형 15인치,AX-EV-G7A-STD-15,전기(EV),신규인증,RMY-HD-21-24,2024-08-06,311,245,281,225,239,231
158,현대자동차(주),승용(소형),G80 Electrified,RG3PE-EV-G7A,전기(EV),신규인증,RMY-HD-21-21,2024-07-19,507,468,489,345,422,380
159,현대자동차(주),승용(소형),아이오닉5 기본형 RWD 개조차,NEPE-EV-G7A-ST2W,전기(EV),신규인증,RMY-HD-21-20,2024-07-15,405,322,368,288,309,297
1,현대자동차(주),승용(소형),캐스퍼 EV 항속형 17인치,AX-EV-G7A-LR2W-17,전기(EV),신규인증,RMY-HD-21-19,2024-06-19,323,262,295,236,256,245
2,현대자동차(주),승용(소형),캐스퍼 EV 항속형 15인치,AX-EV-G7A-LR2W-15,전기(EV),신규인증,RMY-HD-21-19,2024-06-19,351,278,318,239,272,254
3,(주)대동모빌리티,이륜,지에스110,GS110,전기(EV),신규인증,RMY-DM-21-18,2024-06-10,60.6,,,43.2,,
4,기아(주),승용(소형),EV3 기본형 2WD,SV-EV-G7A-ST2W,전기(EV),신규인증,RMY-KM-21-17,2024-06-05,374,314,347,277,311,292
5,기아(주),승용(소형),EV3 항속형 2WD 19인치,SV-EV-G7A-EX2W-19D,전기(EV),신규인증,RMY-KM-21-16,2024-05-27,526,434,485,370,396,382
6,기아(주),승용(소형),EV3 항속형 2WD 17인치,SV-EV-G7A-EX2W-17D,전기(EV),신규인증,RMY-KM-21-16,2024-05-27,556,455,510,381,424,401
7,(주)와코,이륜,엑스텐,KW4900X10-2W,전기(EV),신규인증,RMY-WM-21-15,2024-05-24,62,,,50.8,,
8,기아(주),승용(소형),EV6 항속형 2WD 개조차 19인치,CVPE-EV-G7A-EX2-19D,전기(EV),신규인증,RMY-KM-21-12,2024-05-03,559,439,505,377,409,391
9,기아(주),승용(소형),EV6 항속형 2WD 개조차 20인치,CVPE-EV-G7A-EX2-20D,전기(EV),신규인증,RMY-KM-21-12,2024-05-03,512,402,462,356,386,370
10,기아(주),승용(소형),EV6 항속형 4WD 개조차 20인치,CVPE-EV-G7A-EX4-20D,전기(EV),신규인증,RMY-KM-21-13,2024-05-03,471,396,437,338,372,353
11,기아(주),승용(소형),EV6 항속형 4WD 개조차 19인치,CVPE-EV-G7A-EX4-19D,전기(EV),신규인증,RMY-KM-21-13,2024-05-03,501,413,461,361,403,380
12,현대자동차(주),승용(소형),아이오닉5 N-line RWD,NEPE-EV-G7A-LR2W-NL,전기(EV),신규인증,RMY-HD-21-10,2024-04-08,495,392,448,344,367,354
13,현대자동차(주),승용(소형),아이오닉5 N-line AWD,NEPE-EV-G7A-LR4W-NL,전기(EV),신규인증,RMY-HD-21-11,2024-04-08,447,367,411,332,357,343
14,현대자동차(주),승용(소형),아이오닉5 항속형 AWD 개조차 20인치,NEPE-EV-G7A-LR4W-20,전기(EV),신규인증,RMY-HD-21-9,2024-04-08,471,388,434,355,383,368
15,현대자동차(주),승용(소형),아이오닉5 항속형 AWD 개조차 19인치,NEPE-EV-G7A-LR4W-19,전기(EV),신규인증,RMY-HD-21-9,2024-04-08,505,421,467,363,399,379
16,케이지모빌리티(주),승용(소형),코란도 EV 2WD,E5MLI2H,전기(EV),신규인증,RMY-SY-21-8,2024-04-02,437,364,404,314,347,329
17,현대자동차(주),화물(중형),ST1 기본형 카고 17인치,A01-EV2-G7A-ST2-DVSS-17,전기(EV),신규인증,RMY-HD-21-7,2024-03-28,367,256,317,209,221,214
18,현대자동차(주),화물(중형),ST1 기본형 카고 냉동 17인치,A01-EV2-G7A-ST2-RTSS-17,전기(EV),신규인증,RMY-HD-21-7,2024-03-28,345,241,298,212,217,214
19,(주)GS글로벌,화물(중형),T4K 냉동탑차,T4K,전기(EV),신규인증,RMY-GG-21-6,2024-03-15,231,173,205,163,165,164
20,케이지모빌리티(주),화물(중형),토레스 EVX VAN 18인치,U2MLI2HV,전기(EV),신규인증,RMY-SY-21-4,2024-03-13,439,376,411,248,319,280
21,케이지모빌리티(주),화물(중형),토레스 EVX VAN 20인치,U2MLI2HV,전기(EV),신규인증,RMY-SY-21-5,2024-03-13,430,364,400,253,327,286
22,현대자동차(주),승용(소형),아이오닉5 항속형 RWD 개조차,NEPE-EV-G7A-LR2W,전기(EV),신규인증,RMY-HD-21-3,2024-02-29,502,414,462,355,387,369
23,한국상용트럭(주),화물(중형),한국상용0.9톤롱바디EV내장탑트럭,KCT0.9LNJT-HD1ELCT,전기(EV),신규인증,RMY-HS-21-1,2024-01-12,166,107,139,139,116,129
24,(주)세븐모빌리티,이륜,이노,SEB,전기(EV),신규인증,RMY-SV-21-2,2024-01-12,100.9,,,85.6,,
1,기아(주),승용(소형),PV5 패신저 항속형,SW1-EV5PSG-G7A-EX2W-16,전기(EV),변경인증,SMY-KM-21-24,2025-07-03,,,,,,
2,기아(주),화물(중형),PV5 카고 롱 기본형 3DR,SW1-EV2CL-G7A-ST2W-3DR-16,전기(EV),변경인증,SMY-KM-21-25,2025-07-03,,,,,,
3,기아(주),화물(중형),PV5 카고 롱 기본형 4DR,SW1-EV2CL-G7A-ST2W-4DR-16,전기(EV),변경인증,SMY-KM-21-25,2025-07-03,,,,,,
4,기아(주),화물(중형),PV5 카고 롱 항속형 3DR,SW1-EV2CL-G7A-EX2W-3DR-16,전기(EV),변경인증,SMY-KM-21-26,2025-07-03,,,,,,
5,기아(주),화물(중형),PV5 카고 롱 항속형 4DR,SW1-EV2CL-G7A-EX2W-4DR-16,전기(EV),변경인증,SMY-KM-21-26,2025-07-03,,,,,,
6,현대자동차(주),승용(초대형),일렉시티 이층버스,EC2F701-A216P-C,전기(EV),변경인증,LMY-HD-21-82,2025-07-02,,,,,,
7,현대자동차(주),승용(초대형),일렉시티,ECP5224-A224P-S,전기(EV),변경인증,MMY-HD-21-36,2025-07-02,,,,,,
8,현대자동차(주),승용(초대형),일렉시티,ECP5224-A224P-S1,전기(EV),변경인증,NMY-HD-21-10,2025-07-02,,,,,,
9,현대자동차(주),승용(대형),일렉시티 타운,ECT-4118-A22-SR,전기(EV),변경인증,NMY-HD-21-40,2025-07-02,,,,,,
10,현대자동차(주),승용(대형),카운티 일렉트릭,ECS282-22E6P-3CH15,전기(EV),변경인증,NMY-HD-21-41,2025-07-02,,,,,,
11,현대자동차(주),승용(대형),카운티 일렉트릭,ECS2017-22E6P-C,전기(EV),변경인증,NMY-HD-21-42,2025-07-02,,,,,,
1,(주)우진산전,승용(대형),아폴로 700,WJEB-07CHLP-01,전기(EV),신규인증,SMY-WJ-21-30,2025-06-26,,,392,,,
2,기아(주),승용(소형),EV6 항속형 2WD 개조차 20인치,CVPE-EV-G7A-EX2-20D,전기(EV),변경인증,RMY-KM-21-12,2025-06-09,,,,,,
3,기아(주),승용(소형),EV6 항속형 2WD 개조차 19인치,CVPE-EV-G7A-EX2-19D,전기(EV),변경인증,RMY-KM-21-12,2025-06-09,,,,,,
4,기아(주),승용(소형),EV6 항속형 4WD 개조차 20인치,CVPE-EV-G7A-EX4-20D,전기(EV),변경인증,RMY-KM-21-13,2025-06-09,,,,,,
5,기아(주),승용(소형),EV6 항속형 4WD 개조차 19인치,CVPE-EV-G7A-EX4-19D,전기(EV),변경인증,RMY-KM-21-13,2025-06-09,,,,,,
6,기아(주),승용(소형),EV3 항속형 2WD 19인치,SV-EV-G7A-EX2W-19D,전기(EV),변경인증,RMY-KM-21-16,2025-06-09,,,,,,
7,기아(주),승용(소형),EV3 항속형 2WD 19인치,SV-EV-G7A-EX2W-17D,전기(EV),변경인증,RMY-KM-21-16,2025-06-09,,,,,,
8,기아(주),승용(소형),EV3 기본형 2WD,SV-EV-G7A-ST2W,전기(EV),변경인증,RMY-KM-21-17,2025-06-09,,,,,,
9,기아(주),승용(소형),EV6 GT 개조차,CVPE-EV-G7A-GT,전기(EV),변경인증,RMY-KM-21-27,2025-06-09,,,,,,
10,기아(주),승용(소형),EV6 기본형 2WD 개조차 19인치,CVPE-EV-G7A-ST2-19D,전기(EV),변경인증,RMY-KM-21-28,2025-06-09,,,,,,
11,기아(주),승용(소형),EV9 GT 21인치,MV1-EV6-G7A-GT4W-21,전기(EV),변경인증,RMY-KM-21-44,2025-06-09,,,,,,
12,현대자동차(주),승용(소형),아이오닉6 FL 기본형 2WD 18인치,CE1FL-EV-G7A-ST2W-18,전기(EV),신규인증,SMY-HD-21-27,2025-06-04,476,402,442,375,402,387
13,현대자동차(주),승용(소형),아이오닉6 FL 항속형 2WD 18인치,CE1FL-EV-G7A-EX2W-18,전기(EV),신규인증,SMY-HD-21-28,2025-06-04,609,517,568,429,482,453
14,현대자동차(주),승용(소형),아이오닉6 FL 항속형 2WD 20인치,CE1FL-EV-G7A-EX2W-20,전기(EV),신규인증,SMY-HD-21-28,2025-06-04,529,439,488,433,444,438
15,현대자동차(주),승용(소형),아이오닉6 FL 항속형 2WD 20인치 N-Line,CE1FL-EV-G7A-EX2W-20-NL,전기(EV),신규인증,SMY-HD-21-28,2025-06-04,510,431,475,424,442,432
16,현대자동차(주),승용(소형),아이오닉6 FL 항속형 AWD 18인치,CE1FL-EV-G7A-EX4W-18,전기(EV),신규인증,SMY-HD-21-29,2025-06-04,583,508,549,434,476,453
17,현대자동차(주),승용(소형),아이오닉6 FL 항속형 AWD 20인치,CE1FL-EV-G7A-EX4W-20,전기(EV),신규인증,SMY-HD-21-29,2025-06-04,473,418,448,373,406,388
18,현대자동차(주),승용(소형),아이오닉6 FL 항속형 AWD 20인치 N-Line,CE1FL-EV-G7A-EX4W-20-NL,전기(EV),신규인증,SMY-HD-21-29,2025-06-04,454,402,431,367,399,382
19,기아(주),승용(소형),PV5 패신저 항속형,SW1-EV5PSG-G7A-EX2W-16,전기(EV),신규인증,SMY-KM-21-24,2025-06-04,410,306,363,290,302,296
20,기아(주),화물(중형),PV5 카고 롱 기본형 3DR,SW1-EV2CL-G7A-ST2W-3DR-16,전기(EV),신규인증,SMY-KM-21-25,2025-06-04,321,230,280,233,228,231
